chinese_name,english_name
阿布·阿里·伊本·西那喀布尔医科大学,Kabul University of Medical Sciences Abu Ali Ibn Sina
巴尔赫大学,Balkh University
达瓦特大学,Dawat University
敦亚大学,Dunya University
赫拉特大学,Herat University
贾汉高等教育学院,Jahan Institute of Higher Education
加利卜大学,Ghalib University
坎大哈大学,Kandahar University
卡丹大学,Kardan University
喀布尔大学,Kabul University
卡泰布大学,Kateb University
喀布尔理工大学,Kabul Polytechnic University
拉纳大学,Rana University
麦旺高等教育学院,Maiwand Institute of Higher Education
楠格哈尔大学,Nangarhar University
诺曼萨达特高等教育学院,Noman Sadat Institute of Higher Education
诺克巴甘高等教育学院,Nokhbagan Institute of Higher Education
沙希德拉巴尼教授教育大学,Shaheed Prof.Rabbani Education University
萨拉姆大学,Salam University
塔哈尔大学,Takhar University
谢赫扎耶德大学,Shaikh Zayed University
伊本·西那大学,Avincena University
