chinese_name,english_name
安纳巴巴吉穆赫塔尔大学,Badji Mokhtar Annaba University
阿卜·艾勒卡西姆·萨达拉阿尔及尔第二大学,University of Algiers 2 Abou el Kacem Saâdallah
卜利达阿里劳尼其第二大学,University of Blida 2 Ali Lounici
布默德斯穆罕默德·布加拉大学,M'Hamed Bougara University of Boumerdes
布迈德斯大学,University of Boumerdes
巴特纳第二大学,University of Batna 2
费尔哈特·阿巴斯·塞提夫第一大学,Ferhat Abbas Sétif 1 University
费蒂阿伯斯塞提夫大学,Ferhat Abbas University of Setif
胡阿里布迈丁科技大学,University of Sciences and Technology Houari Boumediene
君士坦丁第二大学,University of Constantine 2 - Abdelhamid Mehri
君士坦丁国家理工学院,National Polytechnic School of Constantine
杰尔法大学,University of Djelfa
康斯坦丁门托里兄弟第一大学,Mentouri Brothers Constantine 1 University
卡斯迪·梅尔巴大学,Kasdi Merbah University of Ouargla
姆西拉大学,Mohamed Boudiaf University of M'sila
穆罕默德·阿勒巴希尔·阿勒易卜拉欣-博尔吉·布阿雷里德大学,Mohamed El Bachir El Ibrahimi University of Bordj Bou Arréridj
莫斯塔加涅姆阿卜杜勒·哈米德·伊本·巴迪斯大学,Abdelhamid Ibn Badis University of Mostaganem
1955年8月20日斯基克达大学,"University of Skikda - August 20, 1955"
赛义达穆莱·塔哈尔博士大学,Dr. Moulay Tahar University of Saida
提济乌祖穆卢德·马迈里大学,Mouloud Mammeri University of Tizi Ouzou
特莱姆森大学,Abou Bekr Belkaid University of Tlemcen
