chinese_name,english_name
阿根廷约翰·肯尼迪大学,John F. Kennedy Argentine University
阿根廷天主教大学,Pontifical Catholic University of Argentina
阿根廷企业大学,Argentine University of Enterprise
布宜诺斯艾利斯大学,University of Buenos Aires
布宜诺斯艾利斯精神分析协会心理健康大学学院,University Institute of Mental Health of the Psychoanalytic Association of Buenos Aires
贝尔格拉诺大学,University of Belgrano
巴勒莫大学,University of Palermo
CEMA大学,University of CEMA
21世纪企业大学,University of the 21st Century
二月三日国立大学,National University of Tres de Febrero
国立技术大学,National Technological University
汉西翻译专科学校,Higher Institute of Interpreters of the Chinese Language
海事商务大学,Merchant Marine University
科尔多瓦国立大学,National University of Córdoba
科尔多瓦天主教大学,Catholic University of Córdoba
拉里奥哈国立大学,National University of La Rioja
拉丁美洲社会科学院（FLACSO）,Latin American Faculty of Social Sciences (FLACSO)
拉努斯国立大学,National University of Lanús
洛马斯德萨莫拉国立大学,National University of Lomas de Zamora
罗萨里奥国立大学,National University of Rosario
迈蒙尼德大学,Maimónides University
美洲开放大学,Interamerican Open University
南部国立大学,National University of the South
南方大学,Austral University
企业与社会科学大学,University of Business and Social Sciences
圣安德烈斯大学,University of San Andrés
萨尔瓦多大学,University of Salvador
托尔夸托•迪特拉大学,Torcuato Di Tella University
