chinese_name,english_name
埃里温国立音乐学院,Yerevan State Conservatory after Komitas
埃里温国立语言与社会科学大学,Yerevan Brusov State University of Languages and Social Sciences
埃里温格拉佐大学,Yerevan Gladzor University
埃里温“艾布萨克”大学,Yerevan Haybusak University
埃里温国立大学,Yerevan State University
埃里温国立医学大学,Yerevan State Medical University after Mkhitar Heratsi
埃里温国立戏剧与电影学院,Yerevan State Institute of Theatre and Cinematography
俄罗斯亚美尼亚（斯拉夫）大学,Russian-Armenian (Slavonic) University
久姆里国立师范学院,Gyumri State Pedagogical Institute after M. Nalbandian
欧洲区域教育学院,European Regional Educational Academy
亚美尼亚国立建筑大学,National University of Architecture and Construction of Armenia
亚美尼亚国立理工大学,National Polytechnic University of Armenia
亚美尼亚美国大学,American University of Armenia
亚美尼亚共和国公共行政学院,Public Administration Academy of the Republic of Armenia
亚美尼亚国立农业大学,Armenian National Agrarian University
亚美尼亚国立师范大学,Armenian State Pedagogical University after Kh.Abovyan
亚美尼亚法语大学,French University in Armenia
亚美尼亚国立经济大学,Armenian State University of Economics
亚美尼亚国立美术学院,State Academy of Fine Arts of Armenia
