chinese_name,english_name
澳大利亚国立大学,The Australian National University
澳大利亚自然疗法学院,Australasian College of Natural Therapies
澳大利亚联邦大学,Federation University Australia
阿德莱德大学,The University of Adelaide
澳大利亚应用心理学院,Australian College of Applied Psychology
澳大利亚音乐学院,The Australian Institute of Music
澳大拉西亚理工学院,Academies Australasia Polytechnic
澳大利亚蓝带学院,Le Cordon Bleu Australia
澳大利亚航空学院,Aviation Australia
澳大利亚商业管理学院,Australian Institute of Business and Management
澳大利亚凯斯林大学,Australian Catholic University
澳大利亚技术与商业学院,Australian Institute of Technology And Commerce
埃文代尔大学,Avondale University
阿德莱德高等教育学院,Adelaide Institute of Higher Education
澳大利亚商学院,Australian Institute of Business
澳大利亚国立管理与商业学院,Australian National Institute of Management and Commerce
澳大利亚高等教育学院,Australian Institute of Higher Education
澳大利亚与新西兰特许会计师协会,Chartered Accountants Australia and New Zealand
澳大利亚理工学院,Polytechnic Institute Australia
澳大利亚怀特豪斯设计学院,Whitehouse Institute of Design  Australia
澳津高等教育学院,OZFORD Institute of Higher Education
埃斯伯利学院,Eynesbury College
澳大利亚肯特学院,Kent Institute Australia
澳大利亚中汇学院,Edvantage Institute Australia
邦德大学,Bond University
博士山技术与继续教育学院,Box Hill Institute
查尔斯达尔文大学,Charles Darwin University
查尔斯特大学,Charles Sturt University
迪肯大学,Deakin University
弗林德斯大学,Flinders University
法学院,The College of Law
国家艺术学院,National Art School
国际酒店管理学院,ICHM
格里菲斯大学,Griffith University
国际研究学院,The Institute of International Studies
皇家墨尔本理工大学,Royal Melbourne Institute of Technology
霍姆斯格兰技术与继续教育学院,Holmesglen Institute
霍尔姆斯学院,Holmes Institute
剑桥国际学院,CIC Higher Education
JMC学院,JMC Academy
昆士兰大学,The University of Queensland
堪培拉大学,University of Canberra
科廷大学,Curtin University
堪培拉技术学院,Canberra Institute of Technology
康格学院,Kangan Institute
坎宁学院,Canning College
科廷学院,Curtin College
卡普兰商学院,Kaplan Business School
昆士兰商业技术学院,Queensland Institute of Business and Technology
昆士兰技术与继续教育学院,TAFE Queensland
昆士兰科技大学,Queensland University of Technology
拉筹伯学院,La Trobe College
拉萨尔学院墨尔本分校,LCI Melbourne
乐卓博大学,La Trobe University
里昂学院,Lyons College
墨尔本理工学院,Melbourne Polytechnic
墨尔本技术学院,Melbourne Institute of Technology
墨尔本大学,The University of Melbourne
默多克技术学院,Murdoch Institute of Technology
莫纳什学院,Monash College
墨尔本商业技术学院,Melbourne Institute of Business and Technology
麦考瑞大学,Macquarie University
莫纳什大学,Monash University
莫道克大学,Murdoch University
南十字星大学,Southern Cross University
纽卡斯尔大学,The University of Newcastle
南澳大利亚大学,University of South Australia
南昆士兰大学,University of Southern Queensland
南澳大利亚技术与继续教育学院,TAFE SA
南十字星教育学院,Southern cross education institute
纽卡斯尔国际学院,Newcastle International College
南澳大利亚商业技术学院,South Australian Institute of Business and Technology
奇泽姆技术与继续教育学院,Chisholm Institute of TAFE
斯文本科技大学,Swinburne University of Technology
SAE创意媒体学院,SAE Creative Media Institute
斯坦利学院,Stanley College
S P Jain全球管理学院,S P Jain School of Global Management
斯道兹学院,Stotts Colleges
桑瑞斯技术与继续教育学院,Sunraysia Institute of TAFE
塔斯马尼亚大学,University of Tasmania
塔斯马尼亚技术与继续教育学院,TasTAFE
泰勒学院,Taylors College
托伦斯大学,Torrens University Australia
伍伦贡大学,University of Wollongong
维多利亚大学,Victoria University
维多利亚理工学院,Victorian Institute of Technology
伍伦贡学院,UOW College
文特沃斯高等教育学院,Wentworth Institute of Higher Education
威廉安格利斯技术与继续教育学院,William Angliss Institute of TAFE
新英格兰大学,University of New England
新南威尔士大学,The University of New South Wales
悉尼大学,The University of Sydney
西澳大利亚大学,The University of Western Australia
悉尼科技大学,University of Technology Sydney
悉尼环球商学院,Universal Business School Sydney
悉尼传统中医学院,Sydney Institute of Traditional Chinese Medicine
悉尼科技大学学院,University of Technology Sydney College
悉尼理工学院,Sydney Polytechnic Institute
西悉尼大学,Western Sydney University
新南威尔士技术与继续教育学院,TAFE NSW
西澳大利亚理工学院,The Polytechnic of Western Australia
悉尼商业技术学院,Sydney Institute of Business and Technology
悉尼国际管理学院,International College of Management  Sydney
信息技术学院,Academy of Information Technology
西澳国际技术与继续教育学院,TAFE International Western Australia
阳光海岸大学,University of the Sunshine Coast
亚太国际学院,Asia Pacific International College
伊塞西雅学院,Excelsia College
音乐与表演艺术学院,Academy of Music and Performing Arts
伊迪斯科文大学,Edith Cowan University
伊迪斯科文学院,Edith Cowan College
英才教育学院,Elite Education Institute
中央昆士兰大学,Central Queensland University
詹姆斯库克大学,James Cook University
