chinese_name,english_name
安东布鲁克纳音乐表演与舞蹈艺术大学,"Anton Bruckner Private University for Music, Drama, and Dance"
奥地利科学与技术学院,Institute of Science and Technology Austria
布尔根兰应用科学大学,University of Applied Sciences Burgenland
蒂罗尔州库夫施泰因应用科学大学,University of Applied Sciences Kufstein Tirol
格拉茨经济应用科学大学,Campus 02 University of Applied Sciences
格拉茨音乐与表演艺术大学,University of Music and Performing Arts Graz
格拉茨医科大学,Medical University of Graz
格拉茨大学,University of Graz
格拉茨技术大学,Graz University of Technology
克莱姆斯继续教育大学,Danube University Krems
克莱姆斯应用科学大学,IMC University of Applied Sciences Krems
克拉根福大学,University of Klagenfurt
克恩藤应用科学大学,Carinthia University of Applied Sciences
林茨艺术与工业设计大学,University of Art and Design Linz
林茨大学,Johannes Kepler University Linz
莱奥本矿业大学,University of Leoben
萨尔茨堡应用科学大学,Salzburg University of Applied Sciences
上奥地利州应用科学大学,University of Applied Sciences Upper Austria
萨尔茨堡莫扎特大学,Mozarteum University Salzburg
萨尔茨堡大学,University of Salzburg
圣珀尔滕应用科学大学,St. Pölten University of Applied Sciences
维也纳经济大学,Vienna University of Economics and Business
维也纳造型艺术学院,Academy of Fine Arts Vienna
维也纳农业大学,"University of Natural Resources and Life Sciences, Vienna"
维也纳应用艺术大学,University of Applied Arts Vienna
维也纳技术大学,TU Wien
维也纳音乐与艺术市立大学,Music and Arts University of the City of Vienna
维也纳医科大学,Medical University of Vienna
维也纳大学,University of Vienna
维也纳音乐与表演艺术大学,University of Music and Performing Arts Vienna
维也纳经济应用科学大学,FHWien der WKW
维也纳爵士与流行音乐大学,Jam Music Lab - Private University for Jazz and Popular Music Vienna
维也纳新城应用科学大学,University of Applied Sciences Wiener Neustadt
维也纳兽医大学,University of Veterinary Medicine Vienna
维也纳康普斯应用科学大学,FH Campus Wien
维也纳技术应用科学大学,University of Applied Sciences Technikum Wien
维也纳模都尔大学,Modul University Vienna
西格蒙德弗洛伊德私立大学,Sigmund Freud University Vienna
因斯布鲁克大学,University of Innsbruck
因斯布鲁克医科大学,Medical University of Innsbruck
因斯布鲁克管理中心,MCI The Entrepreneurial School
约阿内应用科学大学,FH Joanneum University of Applied Sciences
中欧大学私立大学,Central European University Private University
