chinese_name,english_name
阿塞拜疆大学,Azerbaijan University
阿塞拜疆建筑大学,Azerbaijan University of Architecture and Construction
阿塞拜疆农业学院,Azerbaijan State Agricultural Academy
阿塞拜疆国立石油与工业大学,Azerbaijan State Oil and Industry University
阿塞拜疆理工大学,Azerbaijan Technical University
阿塞拜疆国立经济大学,Azerbaijan State University of Economics
阿塞拜疆国家科学院分子生物学与生物技术研究所,Institute of Molecular Biology and Biotechnologies of the Azerbaijan National Academy of Sciences
阿塞拜疆国立师范大学,Azerbaijan State Pedagogical University
阿塞拜疆外交大学,ADA University
巴库国立大学,Baku State University
巴库斯拉夫大学,Baku Slavic University
巴库工程大学,Baku Engineering University
国立航空学院,National Aviation Academy
卡扎尔大学,Khazar University
明盖恰乌尔理工学院,Mingachevir Polytechnic Institute
西里海大学,Western Caspian University
