chinese_name,english_name
阿萨努拉科技大学,Ahsanullah University of Science and Technology
北孟加拉大学,Northern University Bangladesh
布莱克大学,Brac University
东西大学,East West University
东南大学,Southeast University
达卡大学,University of Dhaka
国立大学,National University
贾甘纳特大学,Jagannath University
吉大港大学,University of Chittagong
吉大港国际伊斯兰大学,International Islamic University Chittagong
拉杰沙希大学,University of Rajshahi
孟加拉国专业大学,Bangladesh University of Professionals
孟加拉国国立大学,State University of Bangladesh
马拉纳特国际大学,Manarat International University
孟加拉国商业技术大学,Bangladesh University of Business and Technology
孟加拉国工程技术大学,Bangladesh University of Engineering & Technology
孟加拉国斯坦福大学,Stamford University Bangladesh
南北大学,North South University
南亚大学,University of South Asia
普里米西亚大学,Primeasia University
水仙花国际大学,Daffodil International University
伊斯兰大学,Islamic University
亚太大学,University of Asia Pacific
亚洲女子大学,Asian University for Women
