chinese_name,english_name
阿尔贝·雅卡尔高等学院,Albert Jacquard University College
安特卫普管理学院,Antwerp Management School
安特卫普大学,University of Antwerp
安特卫普大学学院,Artesis Plantijn University of Applied Sciences Antwerp
布鲁塞尔皇家音乐学院,Royal Conservatory of Brussels
（法语）布鲁塞尔自由大学,Free University of Brussels
布鲁塞尔伊拉斯姆斯学院,Erasmushogeschool Brussel
布鲁塞尔伊利亚·普里高津高等学院,Ilya Prigogine University College of Brussels
布鲁塞尔自由大学,Free University of Brussels
布鲁塞尔市立皇家美术学院,Royal Academy of Fine Arts of Brussels - School of Arts
传播艺术学院,Institute for Broadcasting Arts
弗拉瑞克商学院,Vlerick Business School
根特高等专业学院,University of Applied Sciences Ghent
高等音乐与教育学院,Higher Institute of Music and Pedagogy
根特大学,Ghent University
哈瑟尔特大学,Hasselt University
卡瑞尔格若特学院-安特卫普天主教学院,Karel de Grote University of Applied Sciences - Catholic University of Applied Sciences Antwerp
露西亚布鲁凯尔高等学院,Lucia de Brouckère University College
鲁汶天主教大学,KU Leuven
列日皇家音乐学院,Royal Conservatory of Liège
列日大学,University of Liège
鲁汶林堡大学学院,UC Leuven-Limburg
LUCA艺术学院,LUCA School of Arts
林堡天主教大学,UC Limburg
（法语）鲁汶天主教大学,Catholic University of Louvain
列日市立皇家美术学院,Royal Academy of Fine Arts of Liège - School of Arts
蒙斯高等艺术学校,Arts² School of Arts of Mons
蒙斯大学,University of Mons
莫萨内高等自由学院,HELMo: Higher Free School of the Meuse Area
那慕尔大学,University of Namur
南方比维斯天主教高等专业学院,Catholic University of Applied Sciences VIVES South
欧洲学院,College of Europe
欧迪西大学学院,Odisee University College
PXL大学学院,PXL University College
热带医学学院,Institute of Tropical Medicine
托马斯摩尔学院,Thomas More Kempen
西弗拉芒大学学院,University of Applied Sciences West Flanders
