chinese_name,english_name
埃斯塔西奥·德·萨大学,Estácio de Sá University
阿拉戈斯联邦大学,Federal University of Alagoas
AIEC学院,Faculdade AIEC
安汉比莫隆比大学,Anhembi Morumbi University
阿曼多·阿尔瓦雷斯·彭特亚多基金会法学院,Armando Alvares Penteado Foundation Law School
保利斯塔大学,Paulista University
巴拉那图尤蒂大学,Tuiuti University of Paraná
巴西利亚大学中心,University Center of Brasília
伯南布哥卫生学院,Pernambuco School of Health
巴拉那联邦技术大学,Federal Technological University of Paraná
伯南布哥联邦大学,Federal University of Pernambuco
巴拉那联邦大学,Federal University of Paraná
巴拉那天主教大学,Pontifical Catholic University of Paraná
伯南布哥大学,University of Pernambuco
北里奥格兰德联邦大学,Federal University of Rio Grande do Norte
巴拉那高等教育学院,Higher Education College of Paraná
巴伊亚联邦大学,Federal University of Bahia
巴西利亚大学,University of Brasília
巴西物理研究中心,Brazilian Center for Physics Research
巴西利亚教育、发展与研究学院,"Brazilian Institute of Education, Development and Research of Brasília"
北里奥格兰德科学、文化与推广学院,"School of Science, Culture and Extension of Rio Grande do Norte"
CESUMAR大学,UniCesumar
弗鲁米嫩塞联邦大学,Fluminense Federal University
FIEO大学中心,FIEO University Center
福塔雷萨大学,University of Fortaleza
费瓦利大学,Feevale University
高乔山谷大学中心,University Center of Serra Gaúcha
管理与商业学院,FIA School of Administration and Business
戈亚斯联邦大学,Federal University of Goiás
国立纯数学与应用数学研究所,National Institute for Pure and Applied Mathematics
广告与营销高等学院,Superior School of Advertising and Marketing
戈亚斯天主教大学,Catholic University of Goiás
瓜鲁柳斯大学,University of Guarulhos
国家电信学院,National Institute of Telecommunications
核技术发展中心,Centro de Desenvolvimento da Tecnologia Nuclear
Insper教学与研究学院,Insper Institute of Education and Research
IBMEC大学中心,IBMEC University Center
伽利略亚马孙技术与教育学院,Galileo of Amazon Institute of Technology and Education
库里蒂巴大学中心,Curitiba University Center
坎皮纳斯州立大学,University of Campinas
坎皮纳斯天主教大学,Pontifical Catholic University of Campinas
里特尔多雷斯大学中心,Ritter dos Reis University Center
里约麦肯锡长老会学院,Faculdade Presbiteriana Mackenzie Rio
里约热内卢天主教大学,Pontifical Catholic University of Rio de Janeiro
里约热内卢联邦大学,Federal University of Rio de Janeiro
拉丁美洲一体化联邦大学,Federal University of Latin American Integration
里约热内卢州联邦大学,Federal University of the State of Rio de Janeiro
里约热内卢拉萨尔大学中心,La Salle University Center of Rio de Janeiro
里约热内卢州立大学,Rio de Janeiro State University
门德斯大学,Candido Mendes University
马塞约大学中心,Maceió University Center
玛莎·法尔考学院,Martha Falcão Faculty
麦肯锡长老会大学,Mackenzie Presbyterian University
马林加州立大学,State University of Maringá
米纳斯吉拉斯联邦大学,Federal University of Minas Gerais
南大河州联邦大学,Federal University of Rio Grande do Sul
南大河州天主教大学,Pontifical Catholic University of Rio Grande do Sul
南雅拉瓜圣卡塔琳娜天主教大学中心,University Center - Catholic of Santa Catarina in Jaraguá do Sul
南部技术学院,Faculdade de Tecnologia da Zona Sul
欧洲设计学院,Istituto Europeo di Design (IED)
佩洛塔斯联邦大学,Federal University of Pelotas
佩洛塔斯阿尼杨格拉学院,Faculdade Anhanguera de Pelotas
皮塔戈拉斯尤诺帕尔大学,Pitágoras Unopar University
佩洛塔斯天主教大学,Catholic University of Pelotas
帕拉伊巴河谷大学,University of Paraíba Valley
普斯迪伍大学中心,Positivo University Center
帕苏丰杜大学,University of Passo Fundo
七月九日大学,Nove de Julho University
若因维利地区大学,University of the Region of Joinville
圣保罗大学,University of São Paulo
萨尔瓦多天主教大学,Catholic University of Salvador
圣保罗联邦大学,Federal University of São Paulo
圣卡塔琳娜州立大学,University of the State of Santa Catarina
圣卡塔琳娜联邦大学,Federal University of Santa Catarina
圣保罗阿尼扬格拉大学,Anhanguera University of São Paulo
上克鲁斯大学,University of Cruz Alta
圣保罗城市大学,City University of São Paulo
圣保罗天主教大学,Pontifical Catholic University of São Paulo
圣卡塔琳娜南部大学,University of the Extreme South of Santa Catarina
圣保罗美术大学中心,Belas Artes University Center of São Paulo
索罗卡巴大学,University of Sorocaba
圣心大学,University of the Sacred Heart
圣犹大·达陡大学,São Judas Tadeu University
塞维里诺·桑布拉大学,Severino Sombra University
圣保罗州立大学,São Paulo State University
圣保罗基督复临会大学中心,Adventist University Center of São Paulo
圣卡洛斯联邦大学,Federal University of São Carlos
圣埃斯皮里图联邦大学,Federal University of Espírito Santo
圣保罗卫理公会大学,Methodist University of São Paulo
圣玛利亚联邦大学,Federal University of Santa Maria
塞阿拉联邦大学,Federal University of Ceará
堂·佩德罗二世学院,Faculdade Dom Pedro II
Unic大学中心,Unic University Center
UNIVATES大学中心,UNIVATES University Center
瓦加斯基金会巴西公共与企业管理学院,Brazilian School of Public and Business Administration of the Getulio Vargas Foundation
瓦加斯基金会国际关系学院,School of International Relations of the Getulio Vargas Foundation
维索萨联邦大学,Federal University of Viçosa
瓦加斯基金会圣保罗经济学院,São Paulo School of Economics of the Getulio Vargas Foundation
瓦加斯基金会圣保罗工商管理学院,São Paulo School of Business Administration of the Getulio Vargas Foundation
瓦加斯基金会圣保罗法学院,São Paulo Law School of the Getulio Vargas Foundation
西诺斯谷大学,University of Vale do Rio dos Sinos
伊塔茹巴联邦大学,Federal University of Itajubá
亚马孙高等教育大学中心,University Center of Higher Education of Amazonas
伊塔佩蒂宁加技术学院,Faculdade de Tecnologia de Itapetininga
伊塔贾伊河谷大学,University of Vale do Itajaí
伊塔茹巴大学中心,University Center of Itajubá
亚马孙大学,University of the Amazon
