chinese_name,english_name
阿尔哥玛大学,Algoma University
奥尔兹学院,Olds College
艾米丽卡尔艺术与设计大学,Emily Carr University of Art & Design
阿卡迪亚大学,Acadia University
爱德华王子岛大学,University of Prince Edward Island
奥克纳根学院,Okanagan College
阿希尼伯因社区学院,Assiniboine Community College
埃德蒙顿康考迪亚大学,Concordia University of Edmonton
阿尔伯塔大学,University of Alberta
安大略艺术与设计大学,OCAD University
阿尔伯塔艺术与设计学院,Alberta College of Art and Design
阿克森达管理学院,Acsenda School of Management
阿尔伯塔艺术大学,Alberta University of the Arts
安布罗斯大学,Ambrose University
安省理工大学,University of Ontario Institute of Technology
布赖尔克雷斯特学院与神学院,Briercrest College and Seminary
北阿尔伯塔理工学院,Northern Alberta Institute of Technology
布鲁克大学,Brock University
百年理工应用艺术与技术学院,Centennial College of Applied Arts and Technology
北方应用艺术与技术学院,Northern College of Applied Arts and Technology
波维河谷学院,Bow Valley College
不列颠哥伦比亚大学,The University of British Columbia
北不列颠哥伦比亚大学,The University of Northern British Columbia
不列颠哥伦比亚司法学院,Justice Institute of British Columbia
北岛学院,North Island College
布兰登大学,Brandon University
不列颠哥伦比亚理工学院,British Columbia Institute of Technology
北大西洋学院,College of the North Atlantic
多伦多大学,University of Toronto
戴尔豪斯大学,Dalhousie University
道森学院,Dawson College
道格拉斯学院,Douglas College
多伦多都会大学,Toronto Metropolitan University
德汉姆应用艺术与技术学院,Durham College of Applied Arts and Technology
范莎应用艺术与技术学院,Fanshawe College of Applied Arts and Technology
弗雷泽河谷大学,University of the Fraser Valley
弗莱明应用艺术与技术学院,Sir Sandford Fleming College of Applied Arts and Technology
格兰特麦克埃文大学,Grant MacEwan University
圭尔夫大学,The University of Guelph
高贵林学院,Coquitlam College
国王大学,The King's University
皇家音乐学院,The Royal Conservatory of Music
皇家山大学,Mount Royal University
湖首大学,Lakehead University
皇后大学,Queen's University
汉伯学院,Humber College Institute of Technology and Advanced Learning
红鹿学院,Red Deer College
皇家路大学,Royal Roads University
滑铁卢大学,University of Waterloo
荷兰学院,Holland College
红河学院,Red River College
加西大学,University Canada West
加拿大奎斯特大学,Quest University Canada
加斯佩学院,College of Gaspésie and the Islands
救世主大学,Redeemer University
卡尔加里大学,The University of Calgary
坎伯伦应用艺术与技术学院,Cambrian College of Applied Arts and Technology
康奈斯托加学院,Conestoga College Institute of Technology and Advanced Learning
卡普兰诺大学,Capilano University
昆特兰理工大学,Kwantlen Polytechnic University
魁北克大学席库提米分校,University of Quebec at Chicoutimi
魁北克大学蒙特利尔分校,University of Quebec at Montreal
魁北克大学里穆斯基分校,University of Quebec at Rimouski
魁北克大学三河分校,University of Quebec at Trois-Rivières
凯波布兰顿大学,Cape Breton University
康考迪亚大学,Concordia University
卡莫森学院,Camosun College
魁北克大学阿比蒂彼-特米斯卡明分校,University of Quebec in Abitibi-Témiscamingue
魁北克大学渥塔崴分校,University of Quebec in Outaouais
魁北克大学国立科学研究院,"University of Quebec, National Institute of Scientific Research"
卡纳多应用艺术与技术学院,Canadore College of Applied Arts and Technology
魁北克大学高等技术学院,"University of Quebec, School of Higher Technology"
克兰德尔大学,Crandall University
卡普兰诺学院,Capilano College
魁北克音乐与戏剧艺术学院,Quebec Conservatory of Music and Dramatic Arts
卡尔顿大学,Carleton University
莱斯桥大学,The University of Lethbridge
劳伦森大学,Laurentian University
联邦应用艺术与技术学院,Confederation College of Applied Arts and Technology
莱姆顿应用艺术与技术学院,Lambton College of Applied Arts and Technology
莱斯桥学院,Lethbridge College
落基山学院,College of the Rockies
兰加拉学院,Langara College
拉瓦尔大学,Laval University
拉萨尔学院,LaSalle College
里贾纳大学,University of Regina
罗斯芒学院,Rosemont College
麦克马斯特大学,McMaster University
莫霍克应用艺术与技术学院,Mohawk College of Applied Arts and Technology
麦迪森海特学院,Medicine Hat College
蒙特利尔大学,University of Montreal
蒙特圣文森大学,Mount Saint Vincent University
蒙特利尔大学工学院,"Polytechnic School of Montreal, University of Montreal"
曼尼托巴大学,The University of Manitoba
马里亚诺波利斯学院,Marianopolis College
麦吉尔大学,McGill University
蒙特埃里森大学,Mount Allison University
玛丽-维克多汉学院,Marie-Victorin College
蒙特利尔大学高等商学院,"HEC Montreal, University of Montreal"
曼尼托巴贸易与技术学院,Manitoba Institute of Trades and Technology
麦克马斯特神学院,McMaster Divinity College
尼亚加拉大学安大略分校,Niagara University (Ontario)
尼皮辛大学,Nipissing University
南阿尔伯塔理工学院,Southern Alberta Institute of Technology
纽芬兰纪念大学,Memorial University of Newfoundland
诺奎斯特学院,NorQuest College
尼亚加拉应用艺术与技术学院,Niagara College of Applied Arts and Technology
乔治亚应用艺术与技术学院,Georgian College of Applied Arts and Technology
乔治布朗应用艺术与技术学院,George Brown College of Applied Arts and Technology
圣玛丽大学,St.Mary's University
萨斯卡彻温理工学院,Saskatchewan Polytechnic
萨斯卡彻温大学,University of Saskatchewan
圣力嘉应用艺术与技术学院,Seneca College of Applied Arts and Technology
圣克莱尔应用艺术与技术学院,St. Clair College of Applied Arts and Technology
圣劳伦斯应用艺术与技术学院,St. Lawrence College of Applied Arts and Technology
圣汤姆斯大学,St. Thomas University
圣弗朗西斯泽维尔大学,St. Francis Xavier University
舍布鲁克大学,University of Sherbrooke
索尔特应用艺术与技术学院,Sault College of Applied Arts and Technology
汤普森河大学,Thompson Rivers University
特伦特大学,Trent University
天道大学学院与神学院,Tyndale University College and Seminary
瓦尼埃学院,Vanier College
温哥华岛大学,Vancouver Island University
渥太华大学,University of Ottawa
维真学院,Regent College
温哥华拉萨尔学院,Lasalle College Vancouver
维多利亚大学,University of Victoria
温尼伯大学,The University of Winnipeg
温哥华社区学院,Vancouver Community College
威尔弗瑞德劳瑞尔大学,Wilfrid Laurier University
温莎大学,University of Windsor
新斯科舍艺术与设计学院,Nova Scotia College of Art and Design
西三一大学,Trinity Western University
西蒙弗雷泽大学,Simon Fraser University
新布伦瑞克大学,University of New Brunswick
新不伦瑞克社区学院,New Brunswick Community College
新斯科舍艺术与设计大学,NSCAD University
西安大略大学,The University of Western Ontario
新斯科舍社区学院,Nova Scotia Community College
新喀里多尼亚学院,College of New Caledonia
谢尔丹学院,Sheridan College Institute of Technology and Advanced Learning
亚历山大学院,Alexander College
约克维尔大学,Yorkville University
约翰阿伯特学院,John Abbott College
约克大学,York University
亚岗昆应用艺术与技术学院,Algonquin College of Applied Arts and Technology
主教大学,Bishop's University
