chinese_name,english_name
阿道夫·伊瓦涅斯大学,Adolfo Ibáñez University
安第斯大学,University of the Andes
比奥比奥大学,University of Bío Bío
迭戈波尔塔雷斯大学,Diego Portales University
发展大学,University of Development
菲尼斯特拉大学,Finis Terrae University
INACAP职业学院,INACAP Professional Institute
基督教人文主义学院大学,University Academy of Christian Humanism
康塞普西翁大学,University of Concepción
瓦尔帕莱索大学,University of Valparaíso
智利中央大学,Central University of Chile
智利技术大学INACAP,Technological University of Chile INACAP
智利大学,University of Chile
智利圣地亚哥大学,"University of Santiago, Chile"
智利天主教大学,Pontifical Catholic University of Chile
