chinese_name,english_name
北京大学,Peking University
中国人民大学,Renmin University of China
清华大学,Tsinghua University
北京交通大学,Beijing Jiaotong University
北京工业大学,Beijing University of Technology
北京航空航天大学,Beihang University
北京理工大学,Beijing Institute of Technology
北京科技大学,University of Science and Technology Beijing
北方工业大学,North China University of Technology
北京化工大学,Beijing University of Chemical Technology
北京工商大学,Beijing Technology and Business University
北京服装学院,Beijing Institute of Fashion Technology
北京邮电大学,Beijing University of Posts and Telecommunications
北京印刷学院,Beijing Institute of Graphic Communication
北京建筑大学,Beijing University of Civil Engineering and Architecture
北京石油化工学院,Beijing Institute of Petrochemical Technology
北京电子科技学院,Beijing Electronic Science and Technology Institute
中国农业大学,China Agricultural University
北京农学院,Beijing University of Agriculture
北京林业大学,Beijing Forestry University
北京协和医学院,Peking Union Medical College
首都医科大学,Capital Medical University
北京中医药大学,Beijing University of Chinese Medicine
北京师范大学,Beijing Normal University
首都师范大学,Capital Normal University
首都体育学院,Capital University of Physical Education and Sports
北京外国语大学,Beijing Foreign Studies University
北京第二外国语学院,Beijing International Studies University
北京语言大学,Beijing Language and Culture University
中国传媒大学,Communication University of China
中央财经大学,Central University of Finance and Economics
对外经济贸易大学,University of International Business and Economics
北京物资学院,Beijing Materials University
首都经济贸易大学,Capital University of Economics and Business
中国消防救援学院,
外交学院,China Foreign Affairs University
中国人民公安大学,Chinese People's Public Security University
国际关系学院,University of International Relations
北京体育大学,Beijing Sport University
中央音乐学院,Central Conservatory of Music
中国音乐学院,China Conservatory of Music
中央美术学院,Central Academy of Fine Arts
中央戏剧学院,Central Academy of Drama
中国戏曲学院,National Academy of Chinese Theatre Arts
北京电影学院,Beijing Film Academy
北京舞蹈学院,Beijing Dance Academy
中央民族大学,Minzu University of China
中国政法大学,China University of Political Science and Law
华北电力大学,North China Electric Power University
中华女子学院,China Women's University
北京信息科技大学,Beijing Information Science and Technology University
中国矿业大学（北京）,China University of Mining and Technology (Beijing)
中国石油大学（北京）,China University of Petroleum (Beijing)
中国地质大学（北京）,China University of Geosciences (Beijing)
北京联合大学,Beijing Union University
北京城市学院,Beijing City University
中国青年政治学院,China Youth University for Political Sciences
首钢工学院,Shougang Institute of Technology
中国劳动关系学院,China Institute of Industrial Relations
首都师范大学科德学院,"Kede College, Capital Normal University"
北京金融科技学院,
北京邮电大学世纪学院,"Century College, Beijing University of Posts and Telecommunications"
北京工业大学耿丹学院,"Gengdan Institute, Beijing University of Technology"
北京警察学院,Beijing People's Police College
北京第二外国语学院中瑞酒店管理学院,"Beijing Hospitality Institute, Beijing International Studies University"
中国科学院大学,University of Chinese Academy of Sciences
中国社会科学院大学,University of Chinese Academy of Social Sciences
民政职业大学,
北京科技职业大学,
北京工业职业技术学院,
北京信息职业技术学院,
北京京北职业技术学院,
北京交通职业技术学院,
北京青年政治学院,
北京农业职业学院,
北京政法职业学院,
北京财贸职业学院,
北京北大方正软件职业技术学院,
北京经贸职业学院,
北京经济技术职业学院,
北京戏曲艺术职业学院,
北京汇佳职业学院,
北京科技经营管理学院,
北京科技职业学院,
北京培黎职业学院,
北京经济管理职业学院,
北京劳动保障职业学院,
北京艺术传媒职业学院,
北京体育职业学院,
北京交通运输职业学院,
北京卫生职业学院,
北京网络职业学院,
南开大学,Nankai University
天津大学,Tianjin University
天津科技大学,Tianjin University of Science and Technology
天津工业大学,Tianjin Polytechnic University
中国民航大学,Civil Aviation University of China
天津理工大学,Tianjin University of Technology
天津农学院,Tianjin Agricultural University
天津医科大学,Tianjin Medical University
天津中医药大学,Tianjin University of Traditional Chinese Medicine
天津师范大学,Tianjin Normal University
天津职业技术师范大学,Tianjin University of Technology and Education
天津外国语大学,Tianjin Foreign Studies University
天津商业大学,Tianjin University of Commerce
天津财经大学,Tianjin University of Finance and Economics
天津体育学院,Tianjin University of Sport
