chinese_name,english_name
香港大学,University of Hong Kong
香港中文大学,Chinese University of Hong Kong
香港科技大学,Hong Kong University of Science and Technology
香港理工大学,Hong Kong Polytechnic University
香港城市大学,City University of Hong Kong
香港浸会大学,Hong Kong Baptist University
香港都会大学,Hong Kong Metropolitan University
岭南大学,Lingnan University
香港树仁大学,Hong Kong Shue Yan University
香港教育大学,Education University of Hong Kong
香港恒生大学,Hang Seng University of Hong Kong
圣方济各大学,Saint Francis University
明德学院,Centennial College
珠海学院,Chu Hai College of Higher Education
宏恩基督教学院,Gratia Christian College
港专学院,HKCT Institute of Higher Education
香港能仁专上学院,Hong Kong Nang Yan College of Higher Education
香港高等科技教育学院,Technological and Higher Education Institute of Hong Kong
东华学院,Tung Wah College
香港伍伦贡学院,UOW College Hong Kong
耀中幼教学院,Yew Chung College of Early Childhood Education
香港演艺学院,The Hong Kong Academy for Performing Arts
香港专业教育学院,Hong Kong Institute of Vocational Education
香港管理专业协会,Hong Kong Management Association
