chinese_name,english_name
真理大学,Aletheia University
亚洲大学,Asia University
长庚大学,Chang Gung University
长荣大学,Chang Jung Christian University
中国医药大学,China Medical University
中国文化大学,Chinese Culture University
中华大学,Chung Hua University
中山医学大学,Chung Shan Medical University
中原大学,Chung Yuan Christian University
中信金融管理学院,CTBC Business School
大叶大学,Dayeh University
逢甲大学,Feng Chia University
佛光大学,Fo Guang University
辅仁大学,Fu Jen Catholic University
玄奘大学,Hsuan Chuang University
华梵大学,Huafan University
义守大学,I-Shou University
开南大学,Kainan University
高雄医学大学,Kaohsiung Medical University
马偕医学院,Mackay Medical College
铭传大学,Ming Chuan University
南华大学,Nanhua University
静宜大学,Providence University
实践大学,Shih Chien University
世新大学,Shih Hsin University
东吴大学,Soochow University
台北医学大学,Taipei Medical University
淡江大学,Tamkang University
大同大学,Tatung University
东海大学,Tunghai University
慈济大学,Tzu Chi University
康宁大学,University of Kang Ning
元智大学,Yuan Ze University
空军航空技术学院,Air Force Institute of Technology
陆军专科学校,Army Academy R.O.C.
中央警察大学,Central Police University
国防医学院,National Defense Medical Center
国防大学,National Defense University
中华民国空军军官学校,Republic of China Air Force Academy
中华民国陆军军官学校,Republic of China Military Academy
中华民国海军军官学校,Republic of China Naval Academy
台湾警察专科学校,Taiwan Police College
