chinese_name,english_name
安第斯地区大学基金会,Andean Area University Foundation
安第斯大学,University of the Andes
安东尼奥·纳里尼奥大学,Antonio Nariño University
安蒂奥基亚大学,University of Antioquia
北天主教大学基金会,Catholic University of the North Foundation
北方大学,University of the North
波哥大豪尔赫·塔德奥·洛萨诺基金会大学,Jorge Tadeo Lozano University of Bogotá Foundation
玻利瓦尔主教大学,Pontifical Bolivarian University
布卡拉曼加自治大学,Autonomous University of Bucaramanga
EAN大学,EAN University
ESUMER大学学院,ESUMER University Institution
EAFIT大学,EAFIT University
ECCI大学,ECCI University
哥伦比亚埃克斯特纳多大学,Externado University of Colombia
哥伦比亚师范与技术大学,Pedagogical and Technological University of Colombia
哥伦比亚国立大学,National University of Colombia
哥伦比亚海梅·伊萨萨·卡达维德理工学院,Jaime Isaza Cadavid Colombian Polytechnic
国家教育大学,National Pedagogical University
哥伦比亚Colegiatura学院,Colegiatura Colombiana Corporation
哥伦比亚自治基金会大学,Autonomous University Foundation of Colombia
哈维利亚那宗座大学,Pontifical Javeriana University
ICESI大学,ICESI University
解放者大学基金会,Los Libertadores University Foundation
金迪奥大学,University of Quindío
卡尔达斯弗朗西斯科何塞区域大学,Francisco José de Caldas District University
卡塔赫纳大学,University of Cartagena
考卡大学,University of Cauca
洛斯亚诺斯大学,University of Los Llanos
拉萨尔大学,La Salle University
罗萨里奥圣母学院,Our Lady of the Rosary Higher School
美洲哥伦布大学学院,Colombo American University Institution
麦德林大学,University of Medellín
米诺托·德·迪奥斯大学学院,Minuto de Dios University Corporation
南哥伦比亚大学,Surcolombiana University
佩雷拉科技大学,Technological University of Pereira
塞尔吉奥·阿博莱达大学,Sergio Arboleda University
萨拉查·埃雷拉大学学院,Salazar y Herrera University Institution
圣马丁大学基金会,San Martin University Foundation
圣布埃纳文图拉大学,University of San Buenaventura
圣托马斯大学,Santo Tomás University
桑坦德工业大学,Industrial University of Santander
桑坦德技术学院,Technological Units of Santander
瓦耶大学,University of Valle
西部自治大学,Autonomous University of the West
中央大学,Central University
