chinese_name,english_name
A.C.美国学院,A.C. American College
C.D.A.学院,C.D.A. College
弗雷德里克理工学院,Frederick Institute of Technology
弗雷德里克大学,Frederick University
国际学院,Intercollege
KES学院,KES College
卡萨学院,Casa College
旅游与酒店管理学院,College of Tourism and Hotel Management
尼科西亚大学,University of Nicosia
那不勒斯大学,Neapolis University
塞浦路斯学院,Cyprus College
塞浦路斯国际管理学院,Cyprus International Institute of Management
塞浦路斯欧洲大学,European University Cyprus
塞浦路斯大学,University of Cyprus
中央兰开夏大学塞浦路斯分校,University of Central Lancashire - Cyprus
