chinese_name,english_name
AMBIS大学,AMBIS University
利贝雷茨技术大学,Technical University of Liberec
奥帕瓦西里西亚大学,Silesian University in Opava
奥斯特拉发大学,University of Ostrava
奥斯特拉发技术大学,VSB – Technical University of Ostrava
布尔诺孟德尔大学,Mendel University in Brno
布尔诺理工大学,Brno University of Technology
布拉格化工大学,University of Chemistry and Technology  Prague
布拉格城市大学,Metropolitan University Prague
布拉格捷克技术大学,Czech Technical University in Prague
布拉格经济大学,University of Economics  Prague
布拉格表演艺术学院,Academy of Performing Arts in Prague
帕尔杜比采大学,University of Pardubice
帕拉茨基大学,Palacký University Olomouc
捷克布杰约维采南波西米亚大学,University of South Bohemia in České Budějovice
捷克生命科学大学,Czech University of Life Sciences Prague
政治与社会科学学院,University of Political and Social Sciences
斯科达汽车大学,ŠKODA AUTO University
查理大学,Charles University
比尔森西波西米亚大学,University of West Bohemia
泛欧大学,Paneuropean University
纽约大学布拉格分校,University of New York in Prague
金融与管理大学,University of Finance and Administration
雅纳切克音乐艺术学院,Janáček Academy of Music and Performing Arts in Brno
马萨里克大学,Masaryk University
