chinese_name,english_name
奥胡斯大学,Aarhus University
奥尔堡大学,Aalborg University
奥胡斯建筑学院,Aarhus School of Architecture
北丹麦大学学院,University College of Northern Denmark
丹麦国家音乐学院,Danish National Academy of Music
丹麦皇家学院-建筑、设计与修复学院,"Royal Danish Academy – Architecture, Design and Conservation"
丹麦皇家音乐学院,The Royal Danish Academy of Music
丹麦技术大学,Technical University of Denmark
EA西南商业学院,EA Business Academy SouthWest
哥本哈根商业学院,Copenhagen Business Academy
哥本哈根设计与技术学院,The Copenhagen School of Design and Technology
哥本哈根商学院,Copenhagen Business School
哥本哈根信息技术大学,IT University of Copenhagen
哥本哈根大学,University of Copenhagen
皇家音乐学院,The Royal Academy of Music
科灵设计学院,Design School Kolding
罗斯基勒大学,Roskilde University
南丹麦大学,University of Southern Denmark
VIA大学学院,VIA University College
西兰商务与技术学院,Zealand Institute of Business and Technology
押沙龙大学学院,University College Absalon
