chinese_name,english_name
厄瓜多尔天主教大学,Pontifical Catholic University of Ecuador
厄瓜多尔国际大学,International University of Ecuador
厄瓜多尔伊比利亚美洲大学,Ibero-American University of Ecuador
瓜亚基尔大学,University of Guayaquil
瓜亚基尔圣地亚哥天主教大学,Catholic University of Santiago de Guayaquil
海岸高等理工学院,ESPOL Polytechnic University
基多圣弗朗西斯科大学,San Francisco de Quito University
昆卡大学,University of Cuenca
美洲大学,University of the Americas
马纳比技术大学,Technical University of Manabí
南马纳比国立大学,Southern Manabí State University
钦博拉索高等理工学院,Chimborazo Higher Polytechnic School
圣灵专业大学,University of Specialties Espíritu Santo
UTE大学,Equinoctial Technological University
YACHAY实验技术研究大学,Yachay Tech University
