chinese_name,english_name
埃及国际大学,Misr International University
艾因夏姆斯大学,Ain Shams University
爱资哈尔大学,Al-Azhar University
埃及英国大学,The British University in Egypt
埃及日本科技大学,Egypt-Japan University of Science and Technology
本哈大学,Benha University
半岛计算机和行政信息系统学院,El-Gazeera High Institute for Computer and Administrative information Systems
德尔塔科学与技术大学,Delta University for Science and Technology
法尤姆大学,Fayoum University
赫尔万大学,Helwan University
开罗美国大学,The American University in Cairo
开罗大学,Cairo University
开罗德国大学,The German University in Cairo
开罗莫卡塔姆语言、口译、行政科学和计算机高等学院,"Cairo Higher Institute for Languages, Translation, Administrative Sciences and Computer Science in El Mokattam"
卡夫雷尔谢克大学,Kafrelsheikh University
梅努菲亚大学,Menoufia University
曼苏拉大学,Mansoura University
苏伊士运河大学,Suez Canal University
十月六日大学,October 6 University
坦塔大学,Tanta University
坦塔高等工程技术学院,Tanta Higher Institute of Engineering and Technology
五月十五日高等工程学院,Higher Institute of Engineering 15th of May
行政与合作研究高等学院,Higher Institute of Administrative and Cooperative Studies
西奈大学,Sinai University
亚历山大马里奥特国王计算机高等学院,Higher Institute of Computer King Marriott-Alex
亚历山大大学,Alexandria University
亚历山大马里奥特国王旅游酒店高等学院,Higher Institute of Tourism and Hotels King Marriott  Alexandria
扎加齐克大学,Zagazig University
