chinese_name,english_name
奥卢大学,University of Oulu
奥卢应用科学大学,Oulu University of Applied Sciences
奥博学术大学,Åbo Akademi University
阿卡达应用科学大学,Arcada University of Applied Sciences
阿尔托大学,Aalto University
城市应用科学大学,Metropolia University of Applied Sciences
东芬兰大学,University of Eastern Finland
迪亚科尼亚应用科学大学,Diaconia University of Applied Sciences
芬兰东南应用科学大学,South-Eastern Finland University of Applied Sciences
海门应用科学大学,Häme University of Applied Sciences
赫尔辛基大学,University of Helsinki
汉肯经济学院,Hanken School of Economics
哈格哈里亚应用科学大学,Haaga-Helia University of Applied Sciences
赫尔辛基艺术大学,University of the Arts Helsinki
卡亚尼应用科学大学,Kajaani University of Applied Sciences
卡累利阿应用科学大学,Karelia University of Applied Sciences
LAB应用科学大学,LAB University of Applied Sciences
拉普兰大学,University of Lapland
拉普兰应用科学大学,Lapland University of Applied Sciences
拉瑞尔应用科学大学,Laurea University of Applied Sciences
拉彭兰塔-拉赫蒂工业大学,Lappeenranta-Lahti University of Technology LUT
诺维亚应用科学大学,Novia University of Applied Sciences
人文应用科学大学,Humak University of Applied Sciences
萨沃尼亚应用科学大学,Savonia University of Applied Sciences
萨塔昆塔应用科学大学,Satakunta University of Applied Sciences
塞伊奈约基应用科学大学,Seinäjoki University of Applied Sciences
图尔库大学,University of Turku
坦佩雷大学,Tampere University
坦佩雷应用科学大学,Tampere University of Applied Sciences
图尔库应用科学大学,Turku University of Applied Sciences
瓦萨大学,University of Vaasa
瓦萨应用科学大学,Vaasa University of Applied Sciences
于韦斯屈莱大学,University of Jyväskylä
于韦斯屈莱应用科学大学,JAMK University of Applied Sciences
中博腾应用科学大学,Centria University of Applied Sciences
