chinese_name,english_name
3is国际音像学院,International Institute of Image and Sound (3iS)
AFIP培训学院,AFIP Formations
ARTFX数字艺术学院,ARTFX School of Digital Arts
Ascencia商学院,Ascencia Business School
Autograf 设计学院,Autograf
C3学院,C3 Institute
CREAPOLE创意管理学院,CREAPOLE School of Creation Management
E-artsup创意设计学院,E-artsup
ECAD咨询学院,ECAD CONSULTANTS
ECAM拉萨尔工程师学院,ECAM LaSalle
ECE欧洲商业学院,ECE European Business School
EPF工程师学院,EPF Graduate School of Engineering
ESCP欧洲高等商学院,ESCP Business School
ESMA高等艺术学院,ESMA School
ESSEC高等商学院,ESSEC Business School
Efet创意工作室,Efet Creative Studio
Elanova教育学院,Elanova Education
Excelia商学院,Excelia Group
F2I欧洲学院,European Institute F2I
Fructidor媒体艺术学院,Fructidor School of Media Art
ICART文化管理与艺术市场学院,ICART  The School of Management of Culture and Art Market
IESA多媒体学院,IESA Multimedia
IFOCOP商业培训学院,IFOCOP
INECAT艺术治疗学院,INECAT Art and Therapy
IPAC 学院,IPAC
IPAG高等商学院,IPAG Business School
ISEG营销与传播学院,ISEG Marketing & Communication School
IÉSEG管理学院,IÉSEG School of Management
JUNIA高等工程师学院,HEI Junia
JUNIA高等工程师学院-里尔高等电子与数字学院,ISEN JUNIA - Graduate School of Electronics and Digital Technology
KEDGE商业学院,KEDGE Business School
MJM 平面设计学院,MJM Graphic Design
MOD'SPE巴黎高等时尚专业学院,MOD'SPE Paris
Mode Estah学院,Mode Estah
NEOMA高等商学院,NEOMA Business School
SDC传媒学院,Sup'de Com
SIGMA克莱蒙工程师学院,SIGMA Clermont
SKEMA商学院,SKEMA Business School
TALIS学院,Talis Business School
YNOV学院,YNOV
三军防务学院,Joint Defence College
上法兰西国立应用科学学院,INSA Hauts-de-France
上法兰西综合理工大学,Polytechnic University of Hauts-de-France
上法兰西综合理工大学国立高等计算机、电子能源与机械自动化工程师学院,INSA Hauts-de-France
上法兰西英科高等电子与数字学院,ISEN Yncréa Hauts-de-France
上阿尔萨斯大学（米鲁兹大学）,University of Haute Alsace
东巴黎大学,University of Paris-Est
中央电子学院,ECE: Centrale School of Electronics
中央高等电力学院,CentraleSupélec
亚眠大学,University of Picardie Jules Verne
亚眠电子与电子技术高等工程师学院,ESIEE-Amiens
亚眠高等商业学院,ESC Amiens
亚眠高等艺术与设计学院,Amiens Higher School of Art and Design
企业管理学院-巴黎美国商业学院,Institut de Gestion Sociale - The American Business School Paris
传播与跨文化管理学院,ISIT
佩皮尼昂大学,University of Perpignan
保罗·博古斯学院,Paul Bocuse Institute
信息与通信高等研究技术学院,HETIC
光学理论与应用学院,Institute of Theoretical and Applied Optics
克莱蒙-奥弗涅大学综合理工学院,Polytech Clermont-Ferrand (Clermont Auvergne University)
克莱蒙奥弗涅大学,Clermont Auvergne University
克莱蒙奥弗涅大学奥弗涅信息学院,Institute of Computer Science of Auvergne (Clermont Auvergne University)
克莱蒙奥弗涅大学高等计算机、模型及应用学院,Graduate Institute of Computer Science of Modeling and Applications (Clermont Auvergne University)
克莱蒙费朗国立高等建筑学院,National Higher School of Architecture of Clermont-Ferrand
克莱蒙高等商学院,ESC Clermont Business School
兰斯大学,University of Reims Champagne-Ardenne
兰斯高等艺术与设计学院,Reims School of Art and Design
凡尔赛国立高等建筑学院,ENSA Versailles
凡尔赛国立高等景观学院,ENSP Versailles
凡尔赛大学,University of Versailles Saint-Quentin-en-Yvelines
凡尔赛美术学院,School of Fine Arts of Versailles
创新与计算机专家学院,Epitech
利摩日国立美术学院,Limoges National School of Art
利摩日大学,University of Limoges
利摩日大学ENSIL-ENSCI工程师学院,University of Limoges ENSIL-ENSCI
利摩日大学国立高等工程师学院,University of Limoges ENSIL
利摩日计算机工程学院,Institute of Computer Engineering of Limoges
前沿科学理工学院,Polytechnic Institute of Advanced Science
勃艮第-弗朗什孔泰大学,University of Bourgogne Franche-Comté
勃艮第大学第戎综合理工学院,University of Burgundy Dijon Polytechnic School
勃艮第大学（第戎大学）,University of Burgundy
勒芒大学,Le Mans University
勒芒高等美术学院,Le Mans Higher School of Fine Arts
勒阿弗尔-鲁昂高等艺术与设计学院,Le Havre-Rouen School of Art and Design
勒阿弗尔大学,University of Le Havre
勒阿弗尔大学高等物流管理学院,ISEL - Graduate School of Logistics Studies
北加莱海峡敦刻尔克图尔宽高等艺术学院,Graduate School of Art of Nord-Pas de Calais/Dunkerque-Tourcoing
北欧高等矿业电信学院,IMT Nord Europe
南布列塔尼大学,University of South Brittany
南布列塔尼大学国立高等工程师学院,National Graduate School of Engineering of South Brittany - University of South Brittany
南特-大西洋国立兽医、农业与食品工业技术学院,ONIRIS: National Veterinary  Agri-Food and Food Industry School of Nantes-Atlantic
