chinese_name,english_name
伊利亚国立大学,Ilia State University
圣安德鲁格鲁吉亚大学,Saint Andrew the First-Called Georgian University of the Patriarchate of Georgia
新高等教育学院,New Higher Education Institute
格鲁吉亚公共事务学院,Georgian Institute of Public Affairs (GIPA)
格鲁吉亚国立大学,Georgian National University SEU
格鲁吉亚大学,University of Georgia
格鲁吉亚工业大学,Georgian Technical University
欧洲大学,European University
第比利斯国立大学,Ivane Javakhishvili Tbilisi State University
第比利斯国立艺术学院,Tbilisi State Academy of Arts
第比利斯自由大学,Free University of Tbilisi
苏呼米国立大学,Sokhumi State University
阿卡基耶蔡列特利国立大学,Akaki Tsereteli State University
