chinese_name,english_name
Barenboim-Said学院,Barenboim-Said Academy
CBS国际商学院,CBS International Business School
EBS经济与法律大学,EBS University of Business and Law
IU国际应用技术大学,IU International University of Applied Sciences
XU指数应用技术大学,XU Exponential University of Applied Sciences
下莱茵应用技术大学,Niederrhein University of Applied Sciences
不来梅哈芬应用技术大学,Bremerhaven University of Applied Sciences
不来梅大学,University of Bremen
不来梅应用技术大学,Bremen University of Applied Sciences
不来梅艺术学院,University of the Arts Bremen
东威斯特法伦-利普应用技术大学,Ostwestfalen-Lippe University of Applied Sciences and Arts
东法利亚应用技术大学,Ostfalia University of Applied Sciences
中部黑森应用技术大学,University of Applied Sciences Mittelhessen
乌尔姆大学,Ulm University
乌尔姆应用技术大学,Ulm University of Applied Sciences
亚琛工业大学,RWTH Aachen University
亚琛应用技术大学,Aachen University of Applied Sciences
代根多夫应用技术大学,Deggendorf Institute of Technology
代特莫尔德音乐学院,Detmold University of Music
伊尔梅瑙工业大学,Ilmenau University of Technology
伍珀塔尔大学,University of Wuppertal
克劳斯塔尔工业大学,Clausthal University of Technology
兰茨胡特应用技术大学,Landshut University of Applied Sciences
凯尔公共管理应用技术大学,Kehl University of Applied Sciences
凯泽斯劳滕应用技术大学,Kaiserslautern University of Applied Sciences
勃兰登堡应用技术大学,Brandenburg University of Applied Sciences
北方经济应用技术大学,Nordakademie University of Applied Sciences
北豪森应用技术大学,Nordhausen University of Applied Sciences
北黑森应用技术大学,DIPLOMA University of Applied Sciences
卡塞尔CVJM应用技术大学,CVJM University of Applied Sciences Kassel
卡塞尔大学,University of Kassel
卡尔斯鲁厄国立设计学院,Karlsruhe University of Arts and Design
卡尔斯鲁厄国立造型艺术学院,State Academy of Fine Arts Karlsruhe
卡尔斯鲁厄国际应用技术大学,Karlshochschule International University
卡尔斯鲁厄应用技术大学,Karlsruhe University of Applied Sciences
卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology
卡尔斯鲁厄音乐学院,University of Music Karlsruhe
吉森大学,Justus Liebig University Giessen
吕讷堡大学,Leuphana University of Lüneburg
吕贝克大学,University of Lübeck
吕贝克应用技术大学,Lübeck University of Applied Sciences
吕贝克音乐学院,Lübeck Academy of Music
哈勒艺术和设计学院,Burg Giebichenstein University of Art and Design Halle
哈勒－维腾贝格大学,Martin Luther University Halle-Wittenberg
哈尔茨应用技术大学,Harz University of Applied Sciences
哥廷根大学,University of Göttingen
哥廷根私立应用技术大学,PFH Private University of Applied Sciences Göttingen
国立曼海姆音乐与表演艺术学院,Mannheim University of Music and Performing Arts
图宾根大学,Eberhard Karls University of Tübingen
埃伯斯瓦尔德应用技术大学,Eberswalde University for Sustainable Development
埃尔朗根-纽伦堡大学,Friedrich-Alexander University Erlangen-Nuremberg
埃尔福特大学,University of Erfurt
埃尔福特应用技术大学,University of Applied Sciences Erfurt
埃斯林根应用技术大学,Esslingen University of Applied Sciences
埃森经济与管理应用技术大学,FOM University of Applied Sciences for Economics and Management
埃森造型艺术学院,Folkwang University of the Arts
基尔大学,Kiel University
基尔应用技术大学,Kiel University of Applied Sciences
基尔艺术学院,Muthesius University of Fine Arts and Design
多特蒙德国际管理学院,International School of Management
多特蒙德工业大学,TU Dortmund University
多特蒙德应用技术大学,Dortmund University of Applied Sciences and Arts
奥德河畔法兰克福欧洲大学,Viadrina European University Frankfurt (Oder)
奥斯纳布吕克大学,University of Osnabrück
奥斯纳布吕克应用技术大学,Osnabrück University of Applied Sciences
奥格斯堡大学,University of Augsburg
奥格斯堡应用技术大学,Augsburg University of Applied Sciences
奥特斯贝格艺术学院,University of Arts in Social Work  Ottersberg
奥登堡/艾尔斯弗雷特/威廉港应用技术大学,Jade University of Applied Sciences
奥登堡大学,Carl von Ossietzky University of Oldenburg
奥芬堡应用技术大学,Offenburg University of Applied Sciences
奥芬巴赫设计学院,Offenbach School of Design
安哈尔特应用技术大学,Anhalt University of Applied Sciences
安斯巴赫应用技术大学,Ansbach University of Applied Sciences
安贝格-魏登应用技术大学,East Bavarian University of Applied Sciences Amberg-Weiden
宾根应用技术大学,Bingen Technical University of Applied Sciences
富克旺根艺术大学,Folkwang University of the Arts
富尔达应用技术大学,Fulda University of Applied Sciences
