chinese_name,english_name
爱琴海大学,University of the Aegean
比雷埃夫斯大学,University of Piraeus
伯罗奔尼撒大学,University of Peloponnese
克里特大学,University of Crete
潘蒂翁社会政治大学,Panteion University of Social and Political Sciences
帕特雷大学,University of Patras
塞萨利大学,University of Thessaly
塞萨洛尼基亚里士多德大学,Aristotle University of Thessaloniki
约阿尼纳大学,University of Ioannina
雅典大学,National and Kapodistrian University of Athens
雅典经济与商业大学,Athens University of Economics and Business
雅典国立技术大学,National Technical University of Athens
