chinese_name,english_name
埃杜图什大学,Edutus University
埃斯特尔哈兹·卡洛伊天主教大学,Eszterházy Károly Catholic University
布达佩斯技术与经济大学,Budapest University of Technology and Economics
布达佩斯商学院,Budapest Business University
布达佩斯都市大学,Budapest Metropolitan University
布达佩斯考文纽斯大学,Corvinus University of Budapest
德布勒森大学,University of Debrecen
多莫利·帕尔学院,Tomori Pál College
多瑙新城大学,University of Dunaújváros
厄特沃什·罗兰大学,Eötvös Loránd University
国家行政大学,National University of Public Service
IBS国际商学院,International Business School
李斯特音乐学院,Liszt Ferenc Academy of Music
密什科尔茨大学,University of Miskolc
麦克丹尼尔学院布达佩斯分校,McDaniel College Budapest
尼赖吉哈佐大学,University of Nyíregyháza
欧布达大学,Óbuda University
潘农大学,University of Pannonia
帕兹玛尼·彼得天主教大学,Pázmány Péter Catholic University
佩奇大学,University of Pécs
塞格德大学,University of Szeged
塞梅维什大学,Semmelweis University
兽医大学,University of Veterinary Medicine Budapest
塞切尼•伊什特万大学,Széchenyi István University
维克勒•山道尔商业学院,Wekerle Sándor Business College
匈牙利农学与生命科学大学,Hungarian University of Agriculture and Life Sciences
匈牙利体育与运动科学大学,Hungarian University of Sports Science
匈牙利美术大学,Hungarian University of Fine Arts
匈牙利舞蹈大学,Hungarian University of Dance Arts
匈牙利卡洛里·加斯帕新教大学,Károli Gáspár University of the Reformed Church in Hungary
肖普朗大学,University of Sopron
戏剧与电影艺术大学,University of Theatre and Film Arts
中欧大学,Central European University
