chinese_name,english_name
A.P.J.阿卜杜尔卡拉姆博士科技大学,Dr. A.P.J. Abdul Kalam Technical University
安得拉邦国家理工学院,National Institute of Technology Andhra Pradesh
阿查里亚龙树大学,Acharya Nagarjuna University
阿姆里塔威施瓦威达匹萨姆学院,Amrita Vishwa Vidyapeetham
阿格拉森喜玛拉雅加瓦尔大学,Maharaja Agrasen Himalayan Garhwal University
阿姆拉瓦蒂大学,Amravati University
阿格拉毗姆劳安贝德卡尔博士大学,Dr.Bhimrao Ambedkar University  Agra
奥里萨邦农业与技术大学,Odisha University of Agriculture and Technology
阿希尔亚女神大学,Devi Ahilya Vishwavidyalaya
安那大学,Anna University
阿拉哈巴德大学,University of Allahabad
安得拉大学,Andhra University
阿拉嘎帕大学,Alagappa University
阿里格尔穆斯林大学,Aligarh Muslim University
安纳马莱大学,Annamalai University
奥斯马尼亚大学,Osmania University
阿尔尼大学,Arni University
阿米提大学,Amity University
贝内特大学,Bennett University
巴巴萨赫布安贝德卡尔默拉特瓦拉博士大学,Dr. Babasaheb Ambedkar Marathwada University
博帕尔印度科学教育与研究学院,Indian Institute of Science Education and Research Bhopal
巴拉特高等教育与研究学院,Bharath Institute of Higher Education & Research
辨喜瑜伽研究学院,Swami Vivekananda Yoga Anusandhana Samsthana
巴拉西达萨恩大学,Bharathidasan University
北阿坎德邦梵语大学,Uttarakhand Sanskrit University
北阿坎德邦技术大学,Uttarakhand Technical University
巴尔达曼大学,The University of Burdwan
伯尔格杜尔拉赫大学,Barkatullah University
比久伯德纳耶格科技大学,Biju Patnaik University of Technology
巴拉西耶尔大学,Bharathiar University
本地治理大学,Pondicherry University
巴拉理工学院,Birla Institute of Technology
北孟加拉邦大学,University of North Bengal
B.S阿卜杜勒拉赫曼新月科技学院,B. S. Abdur Rahman Crescent Institute Of Science & Technology
贝拿勒斯印度教大学,Banaras Hindu University
班加罗尔大学,Bangalore University
巴拉科技学院,The Birla Institute of Technology and Science
昌迪加尔大学,Chandigarh University
查罗塔尔科技大学,Charotar University of Science and Technology
C.V.拉曼博士大学,Dr. C.V.Raman University
杜尔加布尔国家技术学院,National Institute of Technology  Durgapur
蒂拉克马哈拉施特拉邦学院,Tilak Maharashtra Vidyapeeth
迪恩达亚尔乌巴特亚耶戈勒克布尔大学,Deen Dayal Upadhyay Gorakhpur University
达亚南达萨格尔大学,Dayananda Sagar University
东北山区大学,North-Eastern Hill University
达阿尔巴格教育学院,Dayalbagh Educational Institute
蒂鲁吉拉伯利国家技术学院,National Institute of Technology Tiruchirapalli
德里大学,University of Delhi
达尔瓦德卡纳塔克大学,"Karnatak University, Dharwad"
德里技术大学,Delhi Technological University
EIILM大学,EIILM University
甘地技术管理大学,Gandhi Institute of Technology and Management  University
国立药物教育研究学院,National Institute of Pharmaceutical Education and Research
国家时装技术学院,National Institute of Fashion Technology
甘地格拉姆乡村学院,The Gandhigram Rural Institute
戈芬德巴拉布彭特农业技术大学,G.B.Pant University of Agriculture & Technology
高尔本格大学,University of Gour Banga
格恩努尔大学,Kannur University
国家圣徒图克多基马哈拉伊那格浦尔大学,Rashtrasant Tukadoji Maharaj Nagpur University
高哈提大学,Gauhati University
国家伊斯兰大学,Jamia Millia Islamia
古吉拉特大学,Gujarat University
古鲁格谢德拉大学,Kurukshetra University
古鲁杰默贝什沃尔科技大学,Guru Jambeshwar University of Science and Technology
管理学综合学院,Institute for Integrated Learning in Management
古鲁戈宾德辛格因德勒布勒斯特大学,Guru Gobind Singh Indraprastha University
果阿大学,Goa University
古吉拉特技术大学,Gujarat Technological University
国王瑟亚吉拉奥巴罗达大学,Maharaja Sayajirao University of Baroda
革命家什亚姆吉克里希纳沃尔马格杰奇大学,Krantiguru Shyamji Krishna Verma Kachchh University
花园城市大学,Garden City University
海得拉巴尼赫鲁科技大学,Jawaharlal Nehru Technological University Hyderabad
霍米巴巴国家学院,Homi Bhabha National Institute
海洋工程研究学院,Marine Engineering and Research Institute
哈米尔普尔国家技术学院,National Institute of Technology  Hamirpur
化学技术学院,Institute of Chemical Technology
海得拉巴大学,University of Hyderabad
哈里辛格高尔博士大学,Dr. Harisingh Gour Vishwavidyalaya
ICFAI大学,The ICFAI University
贾朗达尔比姆拉奥·拉姆吉·安贝德卡尔国家技术学院,Dr. B. R. Ambedkar national Institute of Technology  Jalandhar
教育高级研究院,Institute of Advanced Studies in Education Deemed University
加济阿巴德管理技术学院,Institute of Management Technology  Ghaziabad
基督学院,CHRIST University
贾伊恩学院,JAIN (Deemed-to-be University)
贾姆谢德布尔国家技术学院,National Institute of Technology Jamshedpur
贾米亚哈姆达德学院,Jamia Hamdard
加尔各答印度科学教育与研究学院,Indian Institute of Science Education and Research Kolkata
贾德沃布尔大学,Jadavpur University
吉瓦吉大学,Jiwaji University
贾达普大学,Jadavpur University
加瓦尔黑姆瓦迪嫩登综合性大学,Hemwati Nandan Bahuguna Garhwal University
杰伊纳拉扬维亚斯大学,Jai Narain Vyas University
加尔各答大学,University of Calcutta
羯陵伽大学,Kalinga University
贾迪什普拉萨德切伯尔默尔迪伯雷瓦拉先生大学,Shri Jagdish Prasad Jhabarmal Tibrewala University
贾伊比信息技术大学,Jaypee University of Information Technology
羯陵伽工业技术学院,Kalinga Institute of Industrial Technology
卡纳塔克中央大学,Central University of Karnataka
卡利亚尼大学,University of Kalyani
卡基纳达尼赫鲁科技大学,Jawaharlal Nehru Technological University Kakinada
卡纳塔克邦塞阿斯卡尔国家技术学院,National Institute of Technology Karnataka  Surathkal
卡利卡特大学,University of Calicut
卡拉萨林根研究与教育学院,Kalasalingam Academy of Research and Education
卡利卡特国家技术学院,National Institute of Technology Calicut
库鲁克谢特拉国家技术学院,National Institute of Technology  Kurukshetra
