chinese_name,english_name
艾尔郎加大学,Universitas Airlangga
阿赫玛达兰大学,Universitas Ahmad Dahlan
阿尔塔博迪伊斯瓦拉经济学院,Sekolah Tinggi Ilmu Ekonomi Artha Bodhi Iswara
邦达穆利亚大学,Universitas Bunda Mulia
巴东国立大学,Universitas Negeri Padang
巴厘省科技与商业学院,STIKOM Bali Institute of Technology and Business
彼得拉基督教大学,Universitas Kristen Petra
勃良安天主教大学,Universitas Katolik Parahyangan
邦加勿里洞大学,Universitas Bangka Belitung
北苏门答腊大学,Universitas Sumatera Utara
巴查查兰大学,Universitas Padjadjaran
班达楠榜大学,Universitas Bandar Lampung
巴克里大学,Universitas Bakrie
布劳爪哇大学,Universitas Brawijaya
迪波内戈罗大学,Universitas Diponegoro
共同希望语言学院,The College of Language Harapan Bersama
国家教育大学,Universitas Pendidikan Nasional
国民大学,Universitas Nasional
哈山努丁大学,Universitas Hasanuddin
IBMT商学院,Sekolah Tinggi Ilmu Ekonomi IBMT
建国大学,BINUS University
伽内什教育大学,Universitas Pendidikan Ganesha
加札马达大学,Universitas Gadjah Mada
克拉巴大学,Klabat University
明古鲁大学,University of Bengkulu
Mpu坦图尔大学,Universitas Mpu Tantular
穆拉沃曼大学,Universitas Mulawarman
茂物农业大学,Bogor Agricultural University
玛琅公立理工学院,Politeknik Negeri Malang
棉兰区域大学,Universitas Medan Area
马塔兰大学,Universitas Mataram
默库布阿纳大学,Universitas Mercu Buana
玛琅国立技术学院,National Institute of Technology Malang
玛琅州立大学,State University of Malang
毛拉纳·马利克·易卜拉欣玛琅国立伊斯兰大学,Universitas Islam Negeri Maulana Malik Ibrahim Malang
棉兰国立大学,Universitas Negeri Medan
玛拉拿达基督教大学,Universitas Kristen Maranatha
玛琅国立大学,Universitas Negeri Malang
努桑塔拉多媒体大学,Universitas Multimedia Nusantara
诺门森大学,Universitas HKBP Nommensen
佩巴纳斯亚洲银行金融与信息研究所,Perbanas Institute
菩提达摩大学,Universitas Buddhi Dharma
佩特拉基督教大学,Universitas Kristen Petra
潘查希拉大学,University Pancasila
帕提威大学,Universitas Pertiwi
普莱斯蒂亚·穆理亚大学,Universitas Prasetiya Mulya
日惹州大学,Universitas Negeri Yogyakarta
瑞士德国大学,Swiss German University
日惹穆罕默迪亚大学,Universitas Muhammadiyah Yogyakarta
日惹阿特玛阇耶大学,Universitas Atma Jaya Yogyakarta
苏托莫博士大学,Universitas Dr.Soetomo
三宝麟大学,Sampoerna University
室利佛逝大学,Sriwijaya University
泗水大学,University of Surabaya
商务与管理发展经济研究学校,Sekolah Tinggi Ilmu Ekonomi Pengembangan Bisnis Dan Manajemen
梭罗三一一大学,Universitas Sebelas Maret  Surakarta
泗水国立大学,Universitas Negeri Surabaya
泗水理工学院,Sepuluh Nopember Institute of Technology
泗水阿迪塔玛理工学院,Adhi Tama Institute of Technology Surabaya
三宝垄国立大学,Universitas Negeri Semarang
苏利亚大学,Surya University
特里萨克蒂大学,Universitas Trisakti
特里萨克蒂旅游学院,Trisakti School of Tourism
塔鲁玛迦大学,Tarumanagara University
瓦尔马德瓦大学,Universitas Warmadewa
伍拉赖大学,Universitas Ngurah Rai
万隆卫生部理工学院,Politeknik Kesehatan Kementerian Kesehatan Bandung
万鸦老国立大学,Universitas Negeri Manado
乌达雅纳大学,Universitas Udayana
万隆理工大学,Bandung Institute of Technology
西亚苏姆乌鲁姆苏加武眉伊斯兰学院,Syamsul'Ulum Islamic College of Sukabumi
希望之光大学,Universitas Pelita Harapan
西普特拉大学,Ciputra University
印度尼西亚阿特玛阇耶天主教大学,Universitas Katolik Indonesia Atma Jaya
印度尼西亚教育大学,Indonesia University of Education
印度尼西亚大学,Universitas Indonesia
印度尼西亚国际生命科学研究所,International Bioscience Institute of Indonesia
印度尼西亚阿拉扎大学,Universitas Al Azhar Indonesia
雅加达夏里夫·希达亚图拉国立伊斯兰大学,Universitas Islam Negeri Syarif Hidayatullah Jakarta
印度尼西亚ASA大学,Universitas ASA Indonesia
印度尼西亚复临大学,Universitas Advent Indonesia
印度尼西亚伊斯兰大学,Universitas Islam Indonesia
印度尼西亚科技学院,Indonesia Institute of Technology
雅加达萨希德大学,Universitas Sahid Jakarta
印度尼西亚普瑞玛大学,Universitas Prima Indonesia
雅加达国立大学,Universitas Negeri Jakarta
雅加达艺术学院,Jakarta Arts Institute
占碑大学,University Jambi
总统大学,President University
