chinese_name,english_name
阿米尔卡理工大学,Amirkabir University of Technology
阿塞拜疆沙希德马达尼大学,Azarbaijan Shahid Madani University
阿拉梅塔巴塔巴依大学,Allameh Tabataba'i University
比尔詹德大学,University of Birjand
布阿里西纳大学,Bu-Ali Sina University
材料与能源研究中心,Materials and Energy Research Center
德黑兰艺术大学,University of Art of Tehran
德黑兰大学,University of Tehran
大不里士大学,University of Tabriz
达内什·阿尔布尔兹大学,Danesh Alborz University
大不里士医科大学,Tabriz University of Medical Sciences
地震工程与地震学国际学院,International Institute of Earthquake Engineering and Seismology
古列斯坦大学,Golestan University
国立基因工程与生物技术研究院,National Institute of Genetic Engineering and Biotechnology
花剌子模大学,Kharazmi University
霍尔木兹甘大学,University of Hormozgan
基础科学高等研究学院,Institute for Advanced Studies in Basic Sciences
吉兰大学,University of Guilan
基础科学研究学院,Institute for Research in Fundamental Sciences
卡杰·纳西尔·图西科技大学,Khajeh Nasir Toosi University of Technology
库姆大学,University of Qom
卡尚大学,University of Kashan
库尔德斯坦大学,University of Kurdistan
拉什特贾哈德·达内什加希高等教育学院,Higher Education Institute of Jihad Daneshgahi  rasht
鲁兹巴罕大学学院,University College of Rouzbahan
穆斯塔法国际大学,Al-Mustafa International University
马什哈德菲尔多西大学,Ferdowsi University of Mashhad
马赞达兰大学,University of Mazandaran
穆哈赫阿德比利大学,University of Mohaghegh Ardabili
帕亚莫·努尔大学,Payame Noor University
沙赫尔库尔德大学,Shahrekord University
设拉子理工大学,Shiraz University Of Technology
沙希德·贝赫什蒂大学,Shahid Beheshti University
尚迪兹高等教育学院,Shandiz Institute of Higher Education
沙赫德大学,Shahed University
沙赫鲁德理工大学,Shahrood University of Technology
沙希德巴霍纳科尔曼大学,Shahid Bahonar University of Kerman
萨汉德科技大学,Sahand University of Technology
沙里夫理工大学,Sharif University of Technology
设拉子大学,University of Shiraz
萨贾德理工大学,Sadjad University of Technology
塔比亚特•莫达雷斯大学,Tarbiat Modares University
塔巴里高等教育学院,Tabari Institute of Higher Education
乌尔米耶大学,Urmia University
锡斯坦和俾路支斯坦大学,University of Sistan and Baluchestan
伊玛目霍梅尼国际大学,Imam Khomeini International University
伊朗科技大学,Iran University of Science and Technology
伊斯兰阿扎德大学,Islamic Azad University
伊斯法罕理工大学,Isfahan University of Technology
伊斯法罕大学,University of Isfahan
亚兹德大学,Yazd University
应用科技与技术大学,University of Applied Science and Technology
赞詹大学,University of Zanjan
