chinese_name,english_name
爱尔兰国立大学梅努斯分校,National University of Ireland  Maynooth
都柏林圣三一大学,Trinity College Dublin  the University of Dublin
邓莱里文艺理工学院,Dun Laoghaire Institute of Art  Design and Technology
都柏林城市大学,Dublin City University
东南理工大学,South East Technological University
大西洋理工大学,Atlantic Technological University
都柏林理工大学,Technological University Dublin
邓多克理工学院,Dundalk Institute of Technology
都柏林大学学院,University College Dublin
高威大学,University of Galway
科克大学学院,University College Cork
利默里克大学,University of Limerick
芒斯特省理工大学,Munster Technological University
香农理工大学-中部中西部,Technological University of the Shannon: Midlands Midwest
