chinese_name,english_name
阿里尔大学,Ariel University
奥特布劳德学院,Ort Braude College
巴伊兰大学,Bar-Ilan University
本-古里安大学,Ben-Gurion University of the Negev
海法大学,University of Haifa
鲁宾学术中心,Ruppin Academic Center
莱克曼大学,Reichman University
沙雷米什帕特学院,Sha'arei Mishpat College
尚卡工程设计与艺术学院,Shenkar Engineering. Design. Art
特拉维夫大学,Tel Aviv University
魏茨曼科学研究所,Weizmann Institute of Science
希伯来大学,The Hebrew University of Jerusalem
耶路撒冷音乐舞蹈学院,The Jerusalem Academy of Music and Dance
以色列理工学院,Technion - Israel Institute of Technology
