chinese_name,english_name
NABA美术学院,New Academy of Fine Arts (NABA)
佛罗伦萨大学,University of Florence
佛罗伦萨美术学院,Academy of Fine Arts of Florence
佛罗伦萨自由美术学院,Free Academy of Fine Arts (LABA) - Florence
佛罗伦萨音乐学院,Florence Conservatory
佛罗意大里克大学,University of Rome Foro Italico
佩扎罗音乐学院,Gioachino Rossini Conservatory of Pesaro
佩斯卡拉大学,G. d'Annunzio University of Chieti–Pescara
佩斯卡拉音乐学院,Luisa d'Annunzio Conservatory of Pescara
佩鲁贾外国人大学,University for Foreigners Perugia
佩鲁贾大学,University of Perugia
佩鲁贾美术学院,Pietro Vannucci Academy of Fine Arts of Perugia
佩鲁贾音乐学院,Francesco Morlacchi Conservatory of Perugia
克雷莫纳高等音乐学院,Claudio Monteverdi Higher Institute of Musical Studies of Cremona
利贝拉音乐学院,Arturo Toscanini State Conservatory of Music of Ribera
加拉拉泰音乐学院,Gallarate Conservatory
博洛尼亚大学,University of Bologna
博洛尼亚美术学院,Academy of Fine Arts of Bologna
博洛尼亚音乐学院,Bologna Conservatory
博科尼商业大学,Bocconi University
卡利亚里大学,University of Cagliari
卡利亚里音乐学院,Cagliari Conservatory
卡塔尼亚大学,University of Catania
卡帕尼亚大学,University of Campania Luigi Vanvitelli
卡拉布里亚大学,University of Calabria
卡拉拉美术学院,Carrara Academy of Fine Arts
卡斯特弗朗科维内托音乐学院,Castelfranco Veneto Conservatory
卡梅里诺大学,University of Camerino
卡洛卡塔内奥大学,Carlo Cattaneo University
卡西诺-南拉齐奥大学,University of Cassino and Southern Lazio
卢卡机构、市场、技术高等研究学院,IMT School for Advanced Studies Lucca
卢卡音乐学院,Luigi Boccherini State Conservatory of Music of Lucca
卢索服装学院,Accademia del Lusso
国家舞蹈学院,National Academy of Dance
图思雅大学,University of Tuscia
圣安娜高等研究学院,Sant'Anna School of Advanced Studies
圣心天主教大学,Catholic University of the Sacred Heart
圣拉斐尔生命健康自由大学,Vita-Salute San Raffaele University
圣路易斯音乐学院,Saint Louis College of Music
圣雷莫美术学院,Academy of Fine Arts of Sanremo
坎波巴索音乐学院,Campobasso Conservatory
塔兰托音乐学院,Giovanni Paisiello Conservatory of Taranto
墨西拿大学,University of Messina
墨西拿音乐学院,Arcangelo Corelli State Conservatory of Music of Messina
巴勒莫大学,University of Palermo
巴勒莫美术学院,Academy of Fine Arts of Palermo
巴勒莫音乐学院,Palermo Conservatory
巴里大学,University of Bari Aldo Moro
巴里理工大学,Polytechnic University of Bari
巴里美术学院,Academy of Fine Arts of Bari
巴里音乐学院,Bari Conservatory
布雷西亚大学,University of Brescia
布雷西亚自由美术学院,LABA Brescia
布雷西亚音乐学院,Brescia Conservatory
布鲁诺·马代尔纳-嘉·雷迪米音乐学院,Bruno Maderna Conservatory
帕多瓦大学,University of Padua
帕多瓦音乐学院,Cesare Pollini Conservatory of Padua
帕尔玛大学,University of Parma
帕尔马音乐学院,Arrigo Boito Conservatory of Parma
帕维亚大学,University of Pavia
帕维亚音乐学院,Franco Vittadini Conservatory of Pavia
库内奥美术学院,Academy of Fine Arts of Cuneo
库内奥音乐学院,Cuneo Conservatory
弗罗西诺内美术学院,Academy of Fine Arts of Frosinone
弗罗西诺内音乐学院,Frosinone Conservatory
恩纳科雷大学,Kore University of Enna
拉奎拉大学,University of L'Aquila
拉奎拉美术学院,Academy of Fine Arts of L'Aquila
拉奎拉音乐学院,Alfredo Casella State Conservatory of Music of L'Aquila
拉文纳美术学院,Ravenna Academy of Fine Arts
拉文纳高等音乐学院,Giuseppe Verdi Ravenna Higher Institute of Musical Studies
拉斯佩齐亚音乐学院,Giacomo Puccini State Conservatory of Music of La Spezia
拉蒂纳音乐学院,Ottorino Respighi Conservatory of Music of Latina
摩德纳-卡普里高等音乐学院,Orazio Vecchi - Antonio Tonelli Higher Institute of Musical Studies of Modena and Carpi
摩德纳-雷焦艾米利亚大学,University of Modena and Reggio Emilia
时尚与服装学院,Academy of Costume and Fashion
曼托瓦音乐学院,Lucio Campiani State Conservatory of Music of Mantua
格兰萨索科学研究院,Gran Sasso Science Institute
欧洲大学学院,European University Institute
欧洲设计学院,Istituto Europeo del Design (IED)
比萨大学,University of Pisa
比萨高等师范学校,Scuola Normale Superiore
波坦察音乐学院,Potenza Conservatory
波尔扎诺自由大学,Free University of Bozen-Bolzano
