chinese_name,english_name
爱知学院大学短期大学部,Aichi Gakuin University Junior College
爱知产业大学短期大学,Aichi Sangyo University Junior College
爱甲学院专门学校,Aiko Gakuin College
爱知县立艺术大学,Aichi Prefectural University of Fine Arts and Music
安川专门学校罗伊摩登学院,Yasukawa College Roy Mode Academy
爱普生情报科学专门学校,Epson College of Information Science
爱知县立大学,Aichi Prefectural University
爱知商务专门学校,Aichi Business College
爱媛大学,Ehime University
爱知东邦大学,Aichi Toho University
阿尔法医疗福祉专门学校,Alpha College of Medical Welfare
爱知教育大学,Aichi University of Education
爱国学园大学,Aikoku Gakuen University
爱知文教大学,Aichi Bunkyo University
爱知大学,Aichi University
爱知医科大学,Aichi Medical University
爱知学院大学,Aichi Gakuin University
爱知学泉大学,Aichi Gakusen University
爱知工科大学,Aichi University of Technology
爱知工业大学,Aichi Institute of Technology
爱知产业大学,Aichi Sangyo University
爱知淑德大学,Aichi Shukutoku University
安田女子大学,Yasuda Women's University
柏木实业专门学校,Kashiwagi Jitsugyo College
北洋大学,Hokuyo University
白凤短期大学,Hakuho College
八户学院大学,Hachinohe Gakuin University
北星学园大学短期大学部,Hokusei Gakuen University Junior College
浜松医科大学,Hamamatsu University School of Medicine
兵库教育大学,Hyogo University of Teacher Education
北陆大学,Hokuriku University
阪南大学,Hannan University
宝塚大学,Takarazuka University
宝塚医疗大学,Takarazuka University of Medical Healthcare
别府大学短期大学部,Beppu University Junior College
别府沟部学园短期大学,Beppu Mizobe Gakuen College
兵库大学,Hyogo University
北九州市立大学,University of Kitakyushu
兵库医科大学,Hyogo Medical University
北陆先端科学技术大学院大学,Japan Advanced Institute of Science and Technology
北亚大学,North Asia University
白鸥大学,Hakuoh University
别府大学,Beppu University
北海道大学,Hokkaido University
兵库县立大学,University of Hyogo
八户工业大学,Hachinohe Institute of Technology
北星学园大学,Hokusei Gakuen University
北海学园大学,Hokkai Gakuen University
北海商科大学,Hokkai University of Commerce
北海道医疗大学,Hokkaido University of Science
北海道科学大学,Hokkaido University of Science
北海道情报大学,Hokkaido Information University
北海道文教大学,Hokkaido Bunkyo University
北里大学,Kitasato University
白百合女子大学,Shirayuri University
比治山大学,Hijiyama University
北海道教育大学,Hokkaido University of Education
北见工业大学,Kitami Institute of Technology
茨城女子短期大学,Ibaraki Women's Junior College
创形美术学校,Sokei Academy of Art
CAD制图专门学校,CAD Drafting College
冲绳医疗工学院,Okinawa College of Medical Technology
产业能率大学,Sangyo Noritsu University
朝日大学,Asahi University
川口文化服装专门学校,Kawaguchi Bunka Fashion College
赤堀糕点制作专门学校,Akahori Confectionery College
川崎医疗短期大学,Kawasaki College of Allied Health Professions
川村学园女子大学,Kawamura Gakuen Women's University
成蹊大学,Seikei University
嵯峨美术大学,Saga University of Arts
城西大学,Josai University
城西短期大学,Josai Junior College
赤门汽车维修专门学校,Akamon Automobile Technical College
茨城基督教大学,Ibaraki Christian University
常磐大学,Tokiwa University
成安造型大学,Seian University of Art and Design
崇城大学,Sojo University
冲绳大学,University of Okinawa
冲绳国际大学,Okinawa International University
冲绳科学技术大学院大学,Okinawa Institute of Science and Technology
成城大学,Seijo University
池坊短期大学,Ikebono Junior College
城西国际大学,Josai International University
茨城县立医疗大学,Ibaraki Prefectural University of Health Sciences
创价大学,Soka University
常叶大学,Tokoha University
仓敷艺术科学大学,Kurashiki University of Science and the Arts
仓敷作阳大学,Kurashiki Sakuyo University
冲绳县立艺术大学,Okinawa Prefectural University of Arts
茨城大学,Ibaraki University
产业医科大学,University of Occupational and Environmental Health  Japan
大阪文化服装学院,Osaka Bunka Fashion College
大阪樟荫女子大学,Osaka Shoin Women's University
大阪女学院大学,Osaka Jogakuin University
东京COOLJAPAN专门学校,Tokyo Cool Japan College
大阪女学院短期大学,Osaka Jogakuin Junior College
东京经济大学,Tokyo Keizai University
岛根县立大学,Shimane University of Prefectural University
东京演员电影放送专门学校,Tokyo Announce Gakuin College of Arts
岛根康复学院,Rehabilitation College Shimane
大阪动画学院专门学校,Osaka Animation College
大原薄记公务员医疗信息商务专门学校津田沼校,O-hara Accounting  Public Servant  Medical Information and Business College Tsudanuma Campus
大阪外语专门学校,Osaka School of Foreign Languages
大原簿记信息商务专门学校横滨校区,O-hara Accounting and Information Business College Yokohama Campus
东和IT专门学校,Towa IT College
大分工业高等专门学校,Oita National College of Technology
德岛工业短期大学,Tokushima College of Technology
东京日建工科专门学校,Tokyo Nikken College of Technology
大阪医专,Osaka Medical College
独协大学,Dokkyo University
东京电机大学,Tokyo Denki University
都留文科大学,Tsuru University
帝京大学,Teikyo University
东京医科大学,Tokyo Medical University
东京医疗保健大学,Tokyo Healthcare University
东京音乐大学,Tokyo College of Music
东京家政大学,Tokyo Kasei University
东京工科大学,Tokyo University of Technology
东京工艺大学,Tokyo Polytechnic University
东京女子大学,Tokyo Woman's Christian University
东京造型大学,Tokyo Zokei University
东京农业大学,Tokyo University of Agriculture
东京富士大学,Tokyo Fuji University
东京药科大学,Tokyo University of Pharmacy and Life Sciences
东邦大学,Toho University
东洋大学,Toyo University
东洋学园大学,Toyo Gakuen University
帝京平成大学,Teikyo Heisei University
东京情报大学,Tokyo University of Information Sciences
大妻女子大学,Otsuma Women's University
大正大学,Taisho University
大东文化大学,Daito Bunka University
多摩大学,Tama University
多摩美术大学,Tama Art University
东海学院大学,Tokai Gakuen University
帝塚山大学,Tezukayama University
东北大学,Tohoku University
东京大学,The University of Tokyo
东京外国语大学,Tokyo University of Foreign Studies
东京学艺大学,Tokyo Gakugei University
东京农工大学,Tokyo University of Agriculture and Technology
东京艺术大学,Tokyo University of the Arts
东京海洋大学,Tokyo University of Marine Science and Technology
电气通信大学,The University of Electro-Communications
东亚大学,University of East Asia
德岛文理大学,Tokushima Bunri University
岛根大学,Shimane University
东北电子专门学校,Tohoku Electronics College
东放学园音响专门学校,Toho Gakuen Film Techniques Training College
东京MODE学园专门学校,Tokyo Mode Gakuen
东京福祉保育专门学校,Tokyo University of Social Welfare and Early Childhood Education
东京广播学院专门学校,Tokyo Announce Gakuin College of Broadcasting
东京国际商务学院专门学校,Tokyo International Business College
东京优雅糕点烹饪专门学校,Tokyo Belle Époque Confectionery & Cooking College
东京技术学院专门学校,Tokyo Technical College
东京交流艺术专门学校,Tokyo Communication Arts College
东京商科法科学院专门学校,Tokyo College of Business and Law
东京设计技术中心专门学校,Tokyo Design Technology Center College
东京设计专门学校,Tokyo Design Academy
东京数字艺术专门学校,Digital Arts Tokyo
东京糕点制作学校,Tokyo Confectionery School
东京动画学院专门学校,Tokyo Animation College
东京时尚商业学院,Fashion Business College Tokyo
读卖理工医疗福祉专门学校,Yomiuri College of Science and Technology  Medical and Welfare
东京经营短期大学,Tokyo University of Management
东京女子医科大学,Tokyo Women's Medical University
大阪观光商务学院,Osaka Tourism & Business College
帝京大学短期大学,Teikyo University Junior College
东放学园专门学校,Toho Gakuen College of Film Techniques
东北医科药科大学,Tohoku Medical and Pharmaceutical University
东大阪大学短期大学部,Higashi Osaka University Junior College
东京国际学园外语专门学校,Tokyo Kokusai Gakuen Foreign Language School
大阪大学,Osaka University
东京立正短期大学,Tokyo Rissho Junior College
大阪信息计算机专门学校,Osaka Information Computer College
东京心理音乐疗法福祉专门学校,Tokyo Psychological Music Therapy and Welfare College
东洋美术学校,Toyo Art School
东日本国际大学,Higashi Nippon International University
大原大学院大学,Ohara University Graduate School
东京甜品咖啡专门学校,Tokyo Sweets & Cafe College
东京营养食粮专门学校,Tokyo College of Nutrition
东京工学院专门学校,Tokyo Engineering College
大阪学院大学短期大学部,Osaka Gakuin University Junior College
大阪综合设计专门学校,Osaka Design College
大阪艺术大学附属大阪美术专门学校,Osaka University of Arts  Osaka School of Fine Arts
大阪MODE学园专门学校,Mode Gakuen Osaka
东海大学,Tokai University
大阪艺术大学,Osaka University of Arts
带广畜产大学,Obihiro University of Agriculture and Veterinary Medicine
DRESSMAKER学院,Dressmaker Gakuin
东京电子专门学校,Tokyo Electronic College
大阪成蹊短期大学,Osaka Seikei Junior College
大阪艺术大学短期大学部,Osaka University of Arts Junior College
大分大学,Oita University
东北学院大学,Tohoku Gakuin University
东北工业大学,Tohoku Institute of Technology
东北福祉大学,Tohoku Fukushi University
东北艺术工科大学,Tohoku University of Art and Design
东北公益文科大学,Tohoku University of Community Service & Science
东京国际大学,Tokyo International University
东邦音乐大学,Toho College of Music
大同大学,Daido University
大谷大学,Otani University
大阪大谷大学,Osaka Ohtani University
大原医疗秘书福祉专门学校大宫校,O'hara College of Medical Secretarial and Welfare  Omiya Campus
东京国际商务学院专门学校神户校,Tokyo International Business College Kobe Campus
大阪公立大学,Osaka Metropolitan University
东海学园大学,Tokai Gakuen University
大阪医科药科大学,Osaka Medical and Pharmaceutical University
大原簿记专门学校大阪校,O'hara Accounting College Osaka Campus
东京齿科卫生专门学校,Tokyo Dental Hygienist School
东京都市大学,Tokyo City University
东北外国语观光专门学校,Tohoku Foreign Language and Tourism College
东京成德大学,Tokyo Seitoku University
东京福祉大学,Tokyo University of Social Welfare
东京航空旅游酒店管理学校,Tokyo Air Travel & Hotel College
大妻女子大学短期大学部,Otsuma Women's University Junior College
东京英语专门学校,Tokyo School of English
东京山手厨师专门学校,Tokyo Yamate Culinary College
东京综合写真专门学校,Tokyo College of Photography
大阪YMCA国际专门学校,Osaka YMCA International College
大阪音乐专门学校,Osaka School of Music College
东京家政学院大学,Tokyo Kasei Gakuin University
第一工科大学,Daiichi Institute of Technology
东京酒店与旅游学院专门学校,Tokyo Hotel & Travel College
大原外语旅游与婚礼美容专门学校,O'hara College of Foreign Languages  Tourism  Bridal and Beauty
东京福祉专门学校,Tokyo College of Social Welfare
东京理科大学,Tokyo University of Science
东放学园电影专门学校,Toho Gakuen Film Techniques Training College
东京服饰专门学校,Tokyo School of Fashion
东亚经理专门学校神户站前分校,Toa Keiri College Kobe Ekimae Campus
东京音乐学院专门学校,Musicians Institute Tokyo
东海齿科医疗专门学校,Tokai Dental Medical College
东京动漫与声优&电竞专门学校,Tokyo Animation  Voice Acting & e-Sports College
东京外语专门学校,Tokyo College of Foreign Languages
东京都立大学,Tokyo Metropolitan University
东京音乐与舞蹈专门学校,Tokyo School of Music & Dance College
东京商务外语学院专门学校,Tokyo Business and Language College
德岛大学,Tokushima University
独协医科大学,Dokkyo Medical University
东京神学大学,Tokyo Union Theological Seminary
大阪府立大学,Osaka Prefecture University
大阪市立大学,Osaka City University
东京音乐专门学校涩谷校区,Tokyo School of Music College Shibuya
东京都立产业技术大学院大学,Advanced Institute of Industrial Technology
东京音乐专门学校,Tokyo School of Music College
东海学院文化教养专门学校,Tokai Gakuin College of Culture and Liberal Arts
东京寿司和食烹饪专门学校,Tokyo Sushi & Japanese Cuisine College
德岛文理大学短期大学部,Tokushima Bunri University Junior College
东京未来大学福祉保育专门学校,Tokyo Future University College of Welfare and Early Childhood Education
大原薄记公务员医疗福祉保育专门学校立川校,O-hara School of Accounting  Public Servant  Medical Welfare and Nursery Tachikawa School
东京科学大学,Tokyo University of Science
东京动画制作学院专门学校,Tokyo Animator Gakuin College
东京设计师学院专门学校,Tokyo Designer Gakuin College
大阪教育大学,Osaka Kyoiku University
大阪音乐大学,Osaka College of Music
大阪学院大学,Osaka Gakuin University
大阪观光大学,Osaka University of Tourism
大阪经济大学,Osaka University of Economics
大阪经济法科大学,Osaka University of Economics and Law
大阪工业大学,Osaka Institute of Technology
大阪国际大学,Osaka International University
大阪产业大学,Osaka Sangyo University
大阪齿科大学,Osaka Dental University
大阪商业大学,Osaka University of Commerce
大阪成蹊大学,Osaka Seikei University
大阪体育大学,Osaka University of Health and Sport Sciences
大阪电气通信大学,Osaka Electro-Communication University
东洋英和女学院大学,Toyo Eiwa University
帝京科学大学,Teikyo University of Science
东大阪大学,Higashi Osaka University
大和大学,Yamato University
大手前大学,Otemae University
大阪生物医疗专门学校,Osaka Biomedical College
大原簿记学校,O-hara School of Accounting
ESP音乐专门学校大阪校区,ESP Entertainment Osaka
ELIC商务与公务员专门学校,ELIC Business & Public Service College
ECC国际外语专门学校,ECC International College of Foreign Languages
ECC计算机专门学校,ECC Computer College
ESP音乐专门学校东京校区,ESP Entertainment Tokyo
二松学舍大学,Nishogakusha University
福冈大学,Fukuoka University
福冈工业大学,Fukuoka Institute of Technology
福冈齿科大学,Fukuoka Dental College
福岛县立医科大学,Fukushima Medical University
福冈设计与科技专门学校,Fukuoka Design & Technology College
福冈国际医疗福祉大学,International University of Health and Welfare Fukuoka
富士计算机专门学校,Fuji Computer College
放送艺术学院专门学校,Broadcasting Arts College
富山大学,University of Toyama
福井大学,University of Fukui
丰桥技术科学大学,Toyohashi University of Technology
富山国际大学,Toyama International University
福井工业大学,Fukui University of Technology
富士国际商务专门学校,Fuji International Business College
福冈女学院大学,Fukuoka Women's University
FORUM信息专门学校,Forum Information Academy
服部营养专门学校,Hattori Nutrition College
福冈教育大学,Fukuoka University of Education
法政大学,Hosei University
丰桥创造大学,Toyohashi Sozo University
佛教大学,Bukkyo University
菲莉斯女学院大学,Ferris University
福山大学,Fukuyama University
福冈设计专门学校,Fukuoka Design College
富山创意专门学校,Toyama Creative College
富山县立大学,University of Toyama
福井县立大学,Fukui Prefectural University
富士大学,Fuji University
福山平成大学,Fukuyama Heisei University
福山市立大学,Fukuyama City University
福冈县立大学,Fukuoka Prefectural University
福冈女子大学,Fukuoka Women's University
福岛大学,Fukushima University
国际佛教学大学院大学,International College for Postgraduate Buddhist Studies
冈山科学技术专门学校,Okayama College of Science and Technology
国际技术设计与汽车专门学校,International Technical Design Automotive College
关西会计专门学校,Kansai Accounting College
广岛大学,Hiroshima University
国际贡献专门大学校,The University of International Contribution
关西外国语大学短期大学部,Kansai Gaidai College
格雷格外语专门学校横滨校区,Gregg Foreign Language School  Yokohama Campus
高崎健康福祉大学,Takasaki University of Health and Welfare
广岛国际学院大学,Hiroshima International Gakuin University
广岛都市学园大学,Hiroshima Institute of Technology
国际观光专门学校,International Tourism College
公立诹访东京理科大学,Public University of Suwa
国际语言学院外国语专门学校,Kokusai Kotoba Gakuin College of Foreign Languages
国际动画专门学校,International Animation College
广岛市医师会看护专门学校,Hiroshima City Medical Association Nursing School
冈山商科大学专门学校,Okayama University of Commerce College
关东学院大学,Kanto Gakuin University
关西医科大学,Kansai Medical University
关西外国语大学,Kansai Gaidai University
国际大学,International University of Japan
关西国际大学,Kansai University of International Studies
格雷格外语专门学校,Gregg Foreign Language School
关西外语专门学校,Kansai College of Foreign Languages
广岛国际商务学院专门学校,Hiroshima International Business College
国际双业务专门学校,Kokusai Dual Business College
格雷格外语专门学校新宿校区,Gregg Foreign Language School  Shinjuku Campus
公立鸟取环境大学,Tottori University of Environmental Studies
国际电子会计专门学校,International College of Electronics and Accountancy
国际观光专门学校名古屋校区,International Tourism College  Nagoya Campus
国际外语旅游航空专门学校,International College of Foreign Languages  Tourism and Airline
国际情报经济专门学校,International College of Information Economics
国际情报商务专门学校,International College of Information Business
国际商务专门学校,International School of Business
共爱学园前桥国际大学,Kyoai Gakuen University
高冈法科大学,Takaoka University of Law
高野山大学,Koyasan University
宫崎大学,University of Miyazaki
国际短期大学,Kokusai Junior College
关东学园大学,Kanto Gakuen University
高崎商科大学,Takasaki University of Commerce
共荣大学,Kyoei University
宫崎产业经营大学,Miyazaki Sangyo-keiei University
公立函馆未来大学,Future University Hakodate
顾彼思商学院,GLOBIS University Graduate School of Management
关西学院大学,Kwansei Gakuin University
国际时尚专门职大学,Bunka Fashion Graduate University
国际医疗福祉大学,International University of Health and Welfare
国际商务设计专门学校,Kokusai Business Design College
国际食品糕点制作专门学校,Kokusai Food Confectionery College
国际综合健康专门学校,Kokusai Sogo Kenko College
关西大学,Kansai University
关西本田技术学院,Honda Technical College Kansai
冈山医疗福祉专门学校,Okayama College of Health and Welfare
高知大学,Kochi University
关东本田技术学院,Honda Technical College Kanto
国际旅游酒店婚礼专门学校,Kokusai Travel Hotel Bridal College
高田短期大学,Takada Junior College
宫城大学,Miyagi University
国际教养大学,Akita International University
高崎经济大学,Takasaki City University of Economics
国际武道大学,International Budo University
共立女子大学,Kyoritsu Women's University
国立音乐大学,Kunitachi College of Music
工学院大学,Kogakuin University
国学院大学,Kokugakuin University
国际基督教大学,International Christian University
国士馆大学,Kokushikan University
高千穗大学,Takachiho University
冈山商科大学,Okayama University of Commerce
冈山理科大学,Okayama University of Science
广岛文化学园大学,Hiroshima Bunka Gakuen University
广岛经济大学,Hiroshima University of Economics
广岛工业大学,Hiroshima Institute of Technology
广岛国际大学,Hiroshima International University
广岛修道大学,Hiroshima Shudo University
广岛女学院大学,Hiroshima Jogakuin University
冈山县立大学,Okayama Prefectural University
广岛市立大学,Hiroshima City University
高知县立大学,Kochi Prefectural University
高知工科大学,Kochi University of Technology
宫崎公立大学,Miyazaki Municipal University
宫城教育大学,Miyagi University of Education
高松大学,Takamatsu University
冈山大学,Okayama University
横滨国立大学,Yokohama National University
好莱坞大学院大学,Hollywood University of Beauty and Fashion
和歌山工业高等专门学校,Wakayama National College of Technology
HAL名古屋专门学校,HAL Nagoya
横滨设计学院,Yokohama Design College
函馆工业高等专门学校,Hakodate National College of Technology
HIKO MIZUNO珠宝首饰设计专门学校,Hiko Mizuno College of Jewelry
横滨系统工学院专门学校,Yokohama Institute of System Engineering
惠泉女学园大学,Keisen University
横滨日建工科专门学校,Yokohama Nikken College of Technology
和光大学,Wako University
鹤见大学,Tsurumi University
横滨商科大学,Yokohama College of Commerce
横滨美术大学,Yokohama University of Art and Design
和歌山县立医科大学,Wakayama Medical University
好莱坞美容专门学校,Hollywood Beauty College
横滨经理专门学校,Yokohama Business College
HAL大阪专门学校,HAL Osaka
HAL东京专门学校,HAL Tokyo
横滨市立大学,Yokohama City University
函馆大学,Hakodate University
皇学馆大学,Kogakkan University
花园大学,Hanazono University
活水女子大学,Kwassui Women's University
和歌山YMCA国际福祉专门学校,Wakayama YMCA College of International Welfare
和歌山大学,Wakayama University
华学园营养专门学校,Kagakuen Nutrition College
环太平洋大学,IPU - International Pacific University
横滨YMCA学院专门学校,Yokohama YMCA College
会津大学,The University of Aizu
弘前学院大学,Hirosaki Gakuin University
和洋女子大学,Wayo Women's University
弘前大学,Hirosaki University
IGL医疗福祉专门学校,IGL College of Medical and Social Welfare
ICS艺术学院专门学校,ICS College of Arts
就实大学,Shujitsu University
静冈英和学院大学短期大学部,Shizuoka Eiwa Gakuin University Junior College
吉田学园情报商务专门学校,Yoshida Gakuen Information & Business College
京都传统工艺大学校,Kyoto College of Traditional Arts
静冈设计专门学校,Shizuoka Design College
静冈国际航空专门学校,Shizuoka International Air Resort College
金泽美术工艺大学,Kanazawa College of Art
静冈文化艺术大学,Shizuoka University of Art and Culture
津田塾大学,Tsuda University
江户川大学,Edogawa University
敬爱大学,Keiai University
嘉悦大学,Kaetsu University
驹泽大学,Komazawa University
静冈英和学院大学,Shizuoka Eiwa Gakuin University
静冈产业大学,Shizuoka Sangyo University
静冈福祉大学,Shizuoka University of Welfare
静冈理工科大学,Shizuoka Institute of Science and Technology
吉备国际大学,Kibi International University
九州共立大学,Kyushu Kyoritsu University
九州国际大学,Kyushu International University
九州产业大学,Kyushu Sangyo University
九州情报大学,Kyushu Institute of Information Sciences
九州女子大学,Kyushu Women's University
久留米大学,Kurume University
甲南大学,Konan University
京都光华女子大学短期大学部,Kyoto Koka Women's College
京都计算机学院洛北校,Kyoto Computer Gakuin Rakuhoku School
京都产业大学,Kyoto Sangyo University
姬路情报系统专门学校,Himeji Information Systems College
静冈产业技术专门学校,Shizuoka College of Industrial Technology
就实短期大学,Shujitsu Junior College
京都美术工艺大学,Kyoto University of the Arts
久留米工业大学,Kurume Institute of Technology
九州看护福祉大学,Kyushu University of Nursing and Social Welfare
九州保健福祉大学,Kyushu University of Health and Welfare
京都医健专门学院,Kyoto Iken College of Medical Technology
金泽大学,Kanazawa University
静冈大学,Shizuoka University
京都大学,Kyoto University
京都工艺纤维大学,Kyoto Institute of Technology
近畿大学,Kindai University
敬和学园大学,Keiwa College
金泽医科大学,Kanazawa Medical University
金泽工业大学,Kanazawa Institute of Technology
金泽星稜大学,Kanazawa Seiryo University
金城大学,Kinjo University
甲子园大学,Koshien University
甲南女子大学,Konan Women's University
姫路独协大学,Himeji Dokkyo University
京都市立艺术大学,Kyoto City University of Arts
京都府立大学,Kyoto Prefectural University
京都府立医科大学,Kyoto Prefectural University of Medicine
京都艺术设计专门学校,Kyoto College of Art & Design
今治明德短期大学,Imabari Meitoku Junior College
京都外国语专门学校,Kyoto College of Foreign Languages
京都艺术大学,Kyoto University of the Arts
金城大学短期大学部,Kinjo Junior College
京都先端科学大学,Kyoto University of Advanced Science
计算机教育学院专门学校,Computer Education College
骏台旅游与酒店专门学校,Sundai Travel & Hotel College
京都西山短期大学,Kyoto Nishiyama Junior College
骏台电子情报与商科专门学校,Sundai Electronics  Information & Business College
驹泽女子大学,Komazawa Women's University
