chinese_name,english_name
克莱佩达大学,Klaipeda University
考纳斯工业大学,Kaunas University of Technology
立陶宛健康科学大学,Lithuanian University of Health Sciences
立陶宛体育大学,Lithuanian Sports University
立陶宛音乐与戏剧学院,Lithuanian Academy of Music and Theatre
米科罗斯·罗梅里斯大学,Mykolas Romeris University
欧洲人文大学,European Humanities University
物理与技术科学中心,Center for Physical Sciences and Technology
维尔纽斯格迪米纳斯技术大学,Vilnius Gediminas Technical University
维陶塔斯马格纳斯大学,Vytautas Magnus University
维尔纽斯艺术学院,Vilnius Academy of Arts
维尔纽斯大学,Vilnius University
