chinese_name,english_name
ALFA大学学院,ALFA University College
阿布卡里国际大学,Albukhary International University
AMC学院,AMC College
北婆罗洲大学学院,North Borneo University College
毕理学院,Methodist Pilley Institute
槟城技能发展中心,Penang Skills Development Centre
波德申工艺学院,Politeknik Port Dickson
博特拉商学院,Putra Business School
北吉隆坡国际学院,Northern Kuala Lumpur International College
槟城立万国际美术学院,The One Academy Penang
八打灵再也斯坦福学院,Stamford College Petaling Jaya
百纳利管理与创业大学,Binary University of Management and Entrepreneurship
必达智学院,Pintar College
城市大学,City University
成功大学学院,BERJAYA University College
敦阿都拉萨大学,Universiti Tun Abdul Razak
东姑阿都拉曼管理及工艺大学,Tunku Abdul Rahman University of Management and Technology
多媒体大学,Multimedia University
第一城市大学学院,First City University College
国际医科大学,International Medical University
管理与体育国际学院,International College of Management and Sports
国王大学学院,Kings University College
国际创意艺术技术学院,International College of Creative Arts Technology
管理与科学大学,Management and Science University
国油科技大学,Universiti Teknologi Petronas
国家能源大学,Universiti Tenaga Nasional
国际伊斯兰学院,International Islamic College
韩江传媒大学学院,Han Chiang University College of Communication
和立大学学院,Genovasi University College
INCEIF大学,INCEIF University
IACT学院,IACT College
吉隆坡大学,Universiti Kuala Lumpur
吉隆坡都市大学学院,Kuala Lumpur Metropolitan University College
吉隆坡建设大学,Infrastructure University Kuala Lumpur
精英大学,HELP University
奎斯特国际大学,Quest International University
KPJ医疗大学学院,KPJ Healthcare University College
立万国际美术学院,The One Academy of Communication Design
立肯学院,Erican College
利亚学院,Ri-Yaz College
莱佛士大学,Raffles University
立达学院,Disted College
林国荣创意科技大学,Limkokwing University of Creative Technology
林登大学学院,Linton University College
拉曼大学,Universiti Tunku Abdul Rahman
林肯大学学院,Lincoln University College
马来亚-威尔士国际大学,International University of Malaya-Wales
玛莎大学,MAHSA University
马六甲斯里斯坦福学院,Seri Stamford College Melaka
马来西亚艺术学院,Malaysian Institute of Art
麦地那国际大学,Al-Madinah International University
马来西亚DRB-HICOM汽车大学,DRB-HICOM University of Automotive Malaysia
马来西亚测绘大学,Universiti Geomatika Malaysia
马来西亚国立大学,Universiti Kebangsaan Malaysia
马来西亚彭亨苏丹阿卜杜拉大学,Universiti Malaysia Pahang Al-Sultan Abdullah
美里塔斯大学,Meritus University
马来西亚理工大学,Universiti Teknologi Malaysia
MAIWP国际大学学院,University College of MAIWP International
马六甲大学,University of Melaka
马来西亚吉兰丹大学,Universiti Malaysia Kelantan
玛拉工艺大学,Universiti Teknologi MARA
美兰大学,MILA University
玛莎大道国际学院,MAHSA Avenue International College
马来西亚科技大学,Malaysia University of Science and Technology
马来西亚海事学院,Malaysian Maritime Academy
马来西亚双德科技大学,Twintech International University College of Technology
马来西亚沙巴大学,Universiti Malaysia Sabah
马来西亚沙捞越大学,Universiti Malaysia Sarawak
马来西亚丁加奴大学,Universiti Malaysia Terengganu
马来西亚博特拉大学,Universiti Putra Malaysia
马来西亚理科大学,Universiti Sains Malaysia
马来西亚敦胡先翁大学,Universiti Tun Hussein Onn Malaysia
马来西亚北方大学,Universiti Utara Malaysia
马来亚大学,University of Malaya
马来西亚玻璃市大学,Universiti Malaysia Perlis
马来西亚伊斯兰科学大学,Universiti Sains Islam Malaysia
马来西亚马六甲技术大学,Universiti Teknikal Malaysia Melaka
马来西亚国际伊斯兰大学,International Islamic University Malaysia
马来西亚计算机科学与工程大学,University Malaysia of Computer Science and Engineering
南方大学学院,Southern University College
彭亨教育基金大学,UCYP University
PJ艺术与设计学院,PJ College of Art and Design
汝莱大学,Nilai University
沙巴艺术学院,Sabah Institute of Art
世纪大学,SEGi University
世纪学院吉隆坡校区,SEGi College Kuala Lumpur
苏丹依德理斯教育大学,Universiti Pendidikan Sultan Idris
世纪学院,SEGi College
思特雅国际大学学院大学,UCSI University
苏丹阿都哈林姆阿占沙国际伊斯兰大学,Universiti Islam Antarabangsa Sultan Abdul Halim Mu'adzam Shah
首要大学,Perdana University
沙捞越科技大学,University of Technology Sarawak
双威大学,Sunway University
赛城大学,University of Cyberjaya
泰莱大学,Taylor's University
维达大学学院,Widad University College
伍伦贡大学马来西亚,University of Wollongong Malaysia
维里塔斯大学学院,Veritas University College
伍伦贡马来西亚伯乐槟城大学学院,UOW MALAYSIA KDU Penang University College
新纪元大学学院,New Era University College
雪兰莪大学,Universiti Selangor
亚太技术与创新大学,Asia Pacific University of Technology and Innovation
YPC国际学院,YPC International College
亚洲商学院,Asia School of Business
因佩里亚国际学院,International College Imperia
亚洲医药科技大学,AIMST University
亚洲e大学,Asia e University
优理国际大学,UNITAR International University
英迪国际学院槟城校区,INTI International College Penang
英迪学院汝来校区,INTI College Nilai
亚洲城市大学,Asia Metropolitan University
亚太信息技术学院,Asia Pacific Institute of Information Technology
英迪国际大学,INTI International University
英迪国际学院梳邦校区,INTI International College Subang
斋藤大学学院,Saito University College
哲士顿大学学院,Jesselton University College
