chinese_name,english_name,website,province,city
阿奇医科大学,ACH Medical University,,,
阿瓦尔加学院,Avarga Institute,,,
奥特根腾格尔大学,Otgontenger University,,,
奥肯大学,Orkhon University,,,
奥托奇·曼兰巴大学,Otoch Manramba University,,,
财经大学,University of Finance and Economics,,,
CITI大学,CITI University,,,
电影艺术学院,Cinematography Institute,,,
大札撒国际大学,Ikh Zasag International University,,,
国际研究学院,Institute of International Studies,,,
皇家国际大学,Royal International University,,,
环球领袖大学,Global Leadership University,,,
教育文化法学院,Education Culture Law Institute,,,
蒙古国立音乐学院,Mongolian State Conservatory,,,
蒙古内务大学,University of Internal Affairs,,,
蒙古药科大学,Mongolian University of Pharmaceutical Sciences,,,
蒙古额图根大学,Mongolia Etugen University,,,
民族体育学院,National Institute of the Physical Education,,,
蒙古国立文化艺术大学,Mongolian National University of Arts and Culture,,,
蒙古民族大学,Mongolian National University,,,
蒙古伊德大学,Mongolia Ider University,,,
蒙古工程技术学院,Mongolia Institute of Engineering and Technology,,,
蒙古科技大学,Mongolian University of Science and Technology,,,
蒙古国防大学,Mongolian National Defence University,,,
蒙古研究大学,Graduate University of Mongolia,,,
蒙古生命科学大学,Mongolian University of Life Sciences,,,
蒙古国立医科大学,Mongolian National University of Medical Sciences,,,
蒙古国立教育大学,Mongolian National University of Education,,,
蒙古国立大学,The National University of Mongolia,,,
蒙古国际大学,Mongolia International University,,,
蒙奥蒂乌斯大学,Mon-Altius University,,,
蒙中国际大学,International University of Mongolia and China,,,
曼达赫大学,Mandakh University,,,
人文大学,University of the Humanities,,,
乌兰巴托国际大学,International University of Ulaanbaatar,,,
乌兰巴托额尔德木大学,Ulaanbaatar Erdem University,,,
