chinese_name,english_name
阿卜杜勒马利克·艾萨阿迪大学,Abdelmalek Essaadi University
阿克哈韦恩大学,Al Akhawayn University
计算机与多媒体工程高等学校,Higher School of Computer and Multimedia Engineering
卡萨布兰卡哈桑二世大学,Hassan II University of Casablanca
卡迪·阿雅德大学,Cadi Ayyad University
卡萨布兰卡商业与工商管理高级学院,Higher Institute of Commerce and Business Administration Casablanca
拉巴特穆罕默德五世大学,Mohammed V University of Rabat
穆罕默德一世大学,Mohammed Premier University
穆莱·伊斯梅尔大学,Moulay Ismail University
塞塔特哈桑一世大学,Hassan 1st University of Settat
苏丹穆莱伊苏莱曼大学,Sultan Moulay Slimane University
伊本·托法尔大学,Ibn Tofail University
伊本·图费勒大学,Ibn Tofail University
伊本·扎哈尔大学,Ibn Zohr University
