chinese_name,english_name
曼德勒计算机研究大学,University of Computer Studies  Mandalay
缅甸海事大学,Myanmar Maritime University
缅甸理工大学,Technological University (Hmawbi)
曼德勒大学,University of Mandalay
曼德勒医科大学,University of Medicine  Mandalay
曼德勒理工大学,Technological University(Mandalay)
仰光理工大学,Yangon Technological University
雅丹那博大学,Yadanabon University
仰光口腔医学大学,University of Dental Medicine Yangon
耶津农业大学,Yezin Agricultural University
仰光经济大学,Yangon University of Economics
仰光外国语大学,Yangon University of Foreign Languages
仰光大学,University of Yangon
