chinese_name,english_name
HAS应用科学大学,HAS University of Applied Sciences
IVA德里贝亨商学院,IVA Driebergen Business School
TIO应用科学大学,Tio University of Applied Sciences
TSM商学院,TSM Business School
万豪劳伦斯坦应用科学大学,Van Hall Larenstein University of Applied Sciences
乌特勒支大学,Utrecht University
乌特勒支应用科学大学,Utrecht University of Applied Sciences
乌特勒支艺术大学,Utrecht University of the Arts
代尔夫特理工大学,Delft University of Technology
利特维尔美术学院,Gerrit Rietveld Academy
南方应用科学大学,Zuyd University of Applied Sciences
埃因霍芬理工大学,Eindhoven University of Technology
埃因霍芬设计学院,Design Academy Eindhoven
奈梅亨大学,Radboud University
奈耶诺德工商大学,Nyenrode Business University
威登堡应用科学大学,Wittenborg University of Applied Sciences
布雷达应用科学大学,Breda University of Applied Sciences
提亚斯商学院,TIAS School for Business and Society
斯坦顿应用科学大学,NHL Stenden University of Applied Sciences
方提斯应用科学大学,Fontys University of Applied Sciences
格罗宁根大学,University of Groningen
格罗宁根应用科学大学,Hanze University of Applied Sciences Groningen
泽兰应用科学大学,HZ University of Applied Sciences
海牙应用科学大学,The Hague University of Applied Sciences
海牙艺术大学,The Hague University of the Arts
海牙酒店学院,Hotelschool The Hague
温德斯海姆应用科学大学,Windesheim University of Applied Sciences
特文特大学,University of Twente
瓦赫宁根大学,Wageningen University & Research
科达艺术大学,Codarts Rotterdam
联合国教科文组织水教育学院,IHE Delft Institute for Water Education
艾瑞思应用科学大学,Aeres University of Applied Sciences
荷兰NLBA商学院,Netherlands Business Academy
荷兰应用科学大学,Inholland University of Applied Sciences
莱顿大学,Leiden University
萨克逊应用科学大学,Saxion University of Applied Sciences
蒂尔堡大学,Tilburg University
阿姆斯特丹大学,University of Amsterdam
阿姆斯特丹应用科学大学,Amsterdam University of Applied Sciences
阿姆斯特丹自由大学,VU Amsterdam
阿姆斯特丹艺术大学,Amsterdam University of the Arts
阿纳姆、恩斯赫德与兹沃勒艺术大学,ArtEZ University of the Arts
阿纳姆与奈梅亨应用科学大学,HAN University of Applied Sciences
阿芳斯应用科学大学,Avans University of Applied Sciences
马斯特里赫特大学,Maastricht University
鹿特丹伊拉斯姆斯大学,Erasmus University Rotterdam
鹿特丹应用科学大学,Rotterdam University of Applied Sciences
