chinese_name,english_name
阿贝奥库塔联邦农业大学,Federal University of Agriculture  Abeokuta
阿库雷联邦理工大学,The Federal University of Technology  Akure
艾哈迈杜贝洛大学,Ahmadu Bello University
奥韦里联邦理工大学,Federal University of Technology  Owerri
奥巴费米亚沃洛沃大学,Obafemi Awolowo University
阿列罗凯比州立科技大学,Kebbi State University of Science and Technology  Aliero
阿比亚州立大学,Abia State University
埃努古州立科技大学,Enugu State University of Science and Technology
阿德库勒阿贾辛大学,Adekunle Ajasin University
奥孙州立大学,Osun State University
宾汉姆大学,Bingham University
贝宁大学,University of Benin
非洲科技大学,African University of Science and Technology
卡齐纳卡拉姆大学,Al-Qalam University Katsina
卡诺优素福·麦塔玛苏莱大学,Yusuf Maitama Sule University  Kano
科文纳特大学,Covenant University
卡拉巴尔大学,University of Calabar
卡诺巴耶鲁大学,Bayero University  Kano
拉各斯大学,University of Lagos
拉各斯州立大学,Lagos State University
马库尔迪农业大学,University of Agriculture  Makurdi
明纳联邦理工大学,Federal University of Technology  Minna
纳姆迪•阿齐克韦大学,Nnamdi Azikiwe University
尼日利亚大学,University of Nigeria
尼日利亚美国大学,American University of Nigeria
欧麦尔穆萨亚拉杜瓦大学,Umaru Musa Yar'Adua University
索科托乌斯马努丹佛迪尤大学,Usmanu Danfodiyo University Sokoto
乌约大学,University of Uyo
武迪尔卡诺科技大学,Kano University of Science and Technology  Wudil
伊巴丹大学,University of Ibadan
伊拉拉·莫金伊莱扎德大学,Elizade University  Ilara-Mokin
约拉莫迪博·阿达马理工大学,Modibbo Adama University of Technology  Yola
伊巴丹领导城市大学,Lead City University  Ibadan
伊洛林大学,University of Ilorin
