chinese_name,english_name,website,province,city
奥斯陆国立艺术学院,Oslo National Academy of the Arts,,,
奥斯陆城市大学,Oslo Metropolitan University,,,
奥斯陆大学,University of Oslo,,,
奥斯陆建筑与设计学院,The Oslo School of Architecture and Design,,,
阿哥德大学,University of Agder,,,
卑尔根大学,University of Bergen,,,
卑尔根建筑学院,Bergen School of Architecture,,,
摩尔德大学学院,Molde University College,,,
挪威宗教与社会神学院,MF Norwegian School of Theology  Religion and Society,,,
挪威经济学院,NHH Norwegian School of Economics,,,
挪威商学院,BI Norwegian Business School,,,
挪威科技大学,Norwegian University of Science and Technology,,,
挪威生命科学大学,Norwegian University of Life Sciences,,,
诺尔兰大学,Nord University,,,
NLA 大学学院,NLA University College,,,
挪威内陆应用科学大学,Inland Norway University of Applied Sciences,,,
挪威东南大学,University of South-Eastern Norway,,,
挪威音乐学院,Norwegian Academy of Music,,,
斯塔万格大学,University of Stavanger,,,
UiT挪威北极圈大学,UiT The Arctic University of Norway,,,
西挪威应用科学大学,Western Norway University of Applied Sciences,,,
