chinese_name,english_name
阿拉马·伊克巴尔开放大学,Allama Iqbal Open University
阿巴辛大学,Abasyn University
阿伯塔巴德科技大学,Abbottabad University of Science and Technology
阿迦汗大学,Aga Khan University
巴哈瓦尔布尔伊斯兰大学,The Islamia University of Bahawalpur
本努科技大学,University of Science and Technology  Bannu
巴基斯坦经济发展学院,Pakistan Institute of Development Economics
白沙瓦萨哈德科学与信息技术大学,Sarhad University of Science & Information Technology  Peshawar
白沙瓦伊斯兰学院,Islamia College Peshawar
巴哈瓦尔布尔政府萨迪克女子大学学院,The Government Sadiq College Women University Bahawalpur
白沙瓦大学,University of Peshawar
巴基斯坦工程与应用科学学院,Pakistan Institute of Engineering and Applied Sciences
巴利亚大学,Bahria University
巴哈丁·扎卡里亚大学,Bahauddin Zakariya University
比肯豪斯国立大学,Beaconhouse National University
俾路支斯坦大学,University of Balochistan
白沙瓦农业大学,The University of Agriculture Peshawar
白沙瓦工程技术大学,University of Engineering and Technology  Peshawar
巴沙汗大学,Bacha Khan University
CECOS信息技术与新兴科学大学,CECOS University of IT and Emerging Sciences
达伍德工程与技术大学,Dawood University of Engineering and Technology
法蒂玛真纳女子大学,Fatima Jinnah Women University
福尔曼基督教学院,Forman Christian College
费萨拉巴德大学,The University of Faisalabad
费萨拉巴德农业大学,University of Agriculture Faisalabad
费萨拉巴德政府学院大学,Government College University  Faisalabad
管理与技术大学,University of Management and Technology
古吉拉特大学,University of Gujrat
古兰伊沙克汗工程科学技术研究所,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
国际伊斯兰大学,International Islamic University
国防大学,National Defence University
国立现代语言大学,National University of Modern Languages
国立科学与技术大学,National University of Sciences and Technology
戈马尔大学,Gomal University
国家计算机与新兴科学大学,National University of Computer and Emerging Sciences
工商管理与经济国家学院,National College of Business Administration and Economics
航空大学,Air University
哈维里大学,The Hajvery University
哈扎拉大学,Hazara University
喀喇昆仑国际大学,Karakurum International University
开伯尔·普赫图赫瓦农业大学,Khyber Pakhtunkhwa Agricultural University
卡拉奇工商管理学院,Institute of Business Administration Karachi
凯尔布尔沙阿·阿卜杜勒·拉提夫大学,Shah Abdul Latif University  Khairpur
卡拉奇大学,University of Karachi
科哈特科技大学,Kohat University of Science and Technology
拉合尔管理科技学院,The Institute of Management Sciences Lahore
拉合尔兽医与动物科学大学,University of Veterinary and Animal Sciences  Lahore
联邦乌尔都文学与科技大学,Federal Urdu University of Arts  Sciences and Technology
里法国际大学,Riphah International University
拉希姆亚尔汗哈瓦德法雷德工程与信息技术大学,Khwaja Fareed University of Engineering & Information Technology  Rahim Yar Khan
拉斯贝拉农业水和海洋科学大学,Lasbela University of Agriculture  Water and Marine Sciences
拉合尔高等学院,Superior College Lahore
拉合尔国家艺术学院,National College of Arts  Lahore
拉基马尔瓦特大学,University of Lakki Marwat
拉合尔政府学院大学,Government College University Lahore
拉合尔管理科学大学,Lahore University of Management Sciences
拉合尔工程与技术大学,University of Engineering and Technology  Lahore
拉合尔民哈吉大学,Minhaj University Lahore
拉合尔大学,The University of Lahore
拉合尔女子大学,Lahore College for Women University
拉合尔教育大学,University of Education  Lahore
马尔丹阿卜杜勒·瓦利汗大学,Abdul Wali Khan University Mardan
穆罕默德·阿里·金纳大学,Mohammad Ali Jinnah University
木尔坦南旁遮普学院,Institute of Southern Punjab  Multan
木尔坦女子大学,The Women University Multan
迈赫兰工程技术大学,Mehran University of Engineering and Technology
马拉坎大学,University of Malakand
内德工程技术大学,NED University of Engineering and Technology
诺罗瓦尔大学,University of Narowal
普莱斯顿大学,Preston University
普莱斯顿管理科学与技术大学,Preston Institute of Management  Science and Technology
皮尔·迈赫·阿里·沙阿干旱农业大学,Pir Mehr Ali Shah Arid Agriculture University
旁遮普大学,University of the Punjab
斯瓦特大学,University of Swat
沙希德佐勒菲卡尔阿里布托科技学院,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
沙希德佐勒菲卡尔·阿里·布托科技学院,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
萨戈达大学,University of Sargodha
赛义德先生工程与技术大学,Sir Syed University of Engineering and Technology
苏库尔IBA大学,Sukkur IBA University
沙希德·贝娜齐尔·布托大学,Shaheed Benazir Bhutto University
首都科技大学,Capital University of Science and Technology
斯瓦比大学,University of Swabi
塔西拉工程技术大学,University of Engineering and Technology  Taxila
Wah大学,University of Wah
锡亚尔科特政府女子大学学院,Government College Women University  Sialkot
信德农业大学,Sindh Agriculture University Tandojam
锡亚尔科特大学,University of Sialkot
信德大学,University of Sindh
伊斯兰堡基金会大学,Foundation University Islamabad
伊克拉国民大学,Iqra National University
伊斯兰堡COMSATS大学,COMSATS University Islamabad
伊克拉大学,Iqra University
中央旁遮普大学,University of Central Punjab
真纳大学,Quaid-i-Azam University
真纳女子大学,Jinnah University for Women
