chinese_name,english_name
安特诺尔·奥雷戈私立大学,Antenor Orrego Private University
北方私立大学,Private University of the North
秘鲁科技大学,Technological University of Peru
秘鲁天主教大学,Pontifical Catholic University of Peru
费德里科·比利亚雷亚尔国立大学,Federico Villarreal National University
国立工程大学,National University of Engineering
利马大学,University of Lima
利马宗座神学与世俗学院,Pontifical and Civil Faculty of Theology of Lima
里卡多·帕尔马大学,Ricardo Palma University
皮乌拉大学,University of Piura
塞萨尔·巴列霍大学,Cesar Vallejo University
圣马科斯国立大学,National University of San Marcos
圣马丁·德·伯勒斯大学,University of San Martin de Porres
太平洋大学,University of the Pacific
特鲁希略国立大学,National University of Trujillo
西潘王大学,Lord of Sipán University
伊卡圣路易斯·贡萨加国立大学,National University San Luis Gonzaga of Ica
