chinese_name,english_name
AMA计算机学院,AMA Computer College
安格拉斯大学,Angeles University Foundation
奥西亚斯教育基金会,Osias Educational Foundation
奥利瓦雷兹学院,Olivarez College
AMA大学,AMA University
巴伦苏埃拉城市大学,Pamantasan ng Lungsod ng Valenzuela
本格特国立大学,Benguet State University
八打雁国立大学,Batangas State University
八打雁大学,University of Batangas
北吕宋学院,Lyceum Northern Luzon
比科尔大学,Bicol University
巴利瓦格大学,Baliuag University
巴丹州立学院,Bataan State College
巴丹英雄纪念学院,Bataan Heroes Memorial College
布基农国立大学,Bukidnon State University
邦雅斯兰国立大学,Pangasinan State University
碧瑶大学,University of Baguio
达将戈斯圣母大学,Notre Dame of Dadiangas University
杜马盖地圣保罗大学,St. Paul University Dumaguete
达古潘学院,Colegio de Dagupan
东方大学,University of the East
德拉萨阿拉内塔大学,De La Salle Araneta University
德拉萨圣贝尼尔德学院,De La Salle-College of Saint Benilde
达沃雅典耀大学,Ateneo De Davao University
德拉萨大学达斯马瑞纳斯校区,De La Salle University-Dasmarinas
德拉萨大学,De La Salle University
德拉萨医学健康科学学院,De La Salle Medical and Health Sciences Institute
菲律宾卫斯理大学,Wesleyan University-Philippines
菲律宾北部大学,University of Northern Philippines
菲律宾技术学院,Technological Institute of the Philippines
菲律宾大学维萨亚斯分校,University of the Philippines  Visayas
菲律宾师范大学,Philippine Normal University
菲律宾大学洛斯班那斯分校,University of the Philippines  Los Banoss
菲律宾东南大学,University of Southeastern Philippines
法蒂玛大学,Our Lady of Fatima University
菲律宾理工大学,Polytechnic University of the Philippines
菲律宾女子大学,The Philippine Women's University
菲律宾莱西姆大学,Lyceum of the Philippines University
菲律宾大学第利曼分校,University of the Philippines  Diliman
菲律宾基督大学,Adventist University of the Philippines
菲律宾莱康大学,La Consolacion University Philippines
菲律宾商船学校,Philippine Merchant Marine School
菲律宾基督教大学,Philippine Christian University
菲律宾科技大学,Technological University of the Philippines
泛太平洋大学,Panpacific  University
菲律宾大学碧瑶分校,University of the Philippines Baguio
菲律宾健康科学学院,Philipine College of Health Sciences  INC
菲律宾达沃女子学院,Philippine Women's College of Davao
菲拉默基督教大学,Filamer Christian University
菲律宾大学宿务学院,University of the Philippines Cebu College
格林维尔学院,Greenville College
国家大学,National University
国际基督高级研究院,Adventist International Institute of Advanced Studies
国立比立勤大学,Bulacan State University
共和党学院,Republican College
共和学院,Republican College
共和国中央大学,Republic Central Colleges
哈里斯纪念学院,Harris Memorial College
加拉鄢教育基金会,Calayan Educational Foundation
甲米地圣约瑟夫学院,St. Joseph College Cavite City
卡拉潘神语学院,Divine Word College of Calapan
卡昂国立大学,Cagayan State University
卡洛斯·希拉多纪念国立大学,Carlos Hilado Memorial State University
卡威迪国立大学,Cavite State University
奎松市圣保罗大学,St. Paul University Quezon City
奎松市圣约瑟夫学院,St. Joseph's College Quezon City
凯迪雷拉大学,University of the Cordilleras
黎刹系统大学,University of Rizal System
喇沙大学,La Salle University
莱西姆大学八打雁校区,Lyceum of the Philippines University Batangas
黎刹大学,Jose Rizal University
拉古纳国立理工大学,Laguna State Polytechnic University
罗德里格斯科学与技术学院,Eulogio 'Amang' Rodriguez Institute of Science and Technology
莱特师范大学,Leyte Normal University
雷蒙马赛总统国立大学,President Ramon Magsaysay State University
雷省国立科技大学,Nueva Ecija University of Science and Technology
马普尔大学,Mapua University
马里亚诺马科斯国立大学,Mariano Marcos State University
玛弗洛斯技术学院,Marvelous College of Technology Inc.
米莱姆学院,Miriam College
马尼拉圣保罗大学,St.Paul University Manila
马尼拉大学,The University of Manila
马尼拉拉康索列学院,La Consolacion College Manila
马尼拉维斯里安学院,Wesleyan College of Manila
棉兰老国立大学,Mindanao State University
玛利-贝尔纳德学院,Marie - Bernarde College
曼纽尔奎松大学,Manuel L. Quezon University
马尼拉时报学院,The Manila Times College of Subic
马尼拉信息学院,Informatics College Manila
马尼拉市立大学,University of Manila
曼纽安佛各大学卢塞纳校区,Manuel S. Enverga University Foundation-Lucena
南方浸会学院,Southern Baptist College
南棉兰老大学,University of Southern Mindanao
内格罗斯大学雷科莱塔校区,University of Negros Occidental-Recoleto
那牙卡雷斯大学,University of Nueva Caceres
潘加西南大学,University of Pangasinan
圣拉萨尔大学,University of St. La Salle
三宝颜雅典耀大学,Ateneo De Zamboanga University
圣费尔南多圣路易斯学院,Saint Louis College City of San Fernando
圣名大学,Holy Name University
圣玛丽大学,Saint Mary's University
圣路易斯大学,Saint Louis University
圣安琪大学,Holy Angel University
圣若泽雷科莱托斯大学,University of San Jose-Recoletos
圣保罗大学土格加劳校区,St.Paul University Philippines
圣卡洛斯大学,University of San Carlos
宿务医科大学,Cebu Doctors' University
圣多米克沙维奥学院,St Dominic Savio College
圣塞巴斯蒂安学院,San Sebastian College
圣卡塔利娜学院,Santa Catalina College
山景学院,Mountain View College
宿务大学,University of Cebu
世界城市学院,World Citi Colleges
宿务理工学院大学,Cebu Institute of Technology-University
圣托马斯大学,University of Santo Tomas
圣奥古斯丁大学,University of San Agustin
STI西内格罗斯大学,STI West Negros University
土格加劳圣路易斯大学,University of Saint Louis Tuguegarao
太历国立大学,Tarlac State University
唐马里亚诺马科斯纪念国立大学南拉乌尼翁校区,Don Mariano Marcos Memorial State University - South La Union Campus
唐马里亚诺马科斯纪念国立大学,Don Mariano Marcos Memorial State University
塔克洛班圣保罗商学院,Saint Paul's Business School of Tacloban
维萨亚斯大学,University of the Visayas
西利曼大学,Silliman University
西南大学,Southwestern University
西北学会大学,Lyceum-Northwestern University
西米沙鄢国立大学,West Visayas State University
西棉兰老岛国立大学,Western Mindanao State University
西部理工学院,Western Institute of Technology
新纪元大学,New Era University
西北萨玛尔国立大学,Northwest Samar State University
伊莎贝拉国立大学,Isabela State University
亚洲圣多米尼克学院,St. Dominic College of Asia
亚洲太平洋大学,University of Asia and the Pacific
远东学院（奎松校区）,Feu Fern College(Quezon City)
永恒大学拉古纳分校,University of Perpetual Help System Laguna
