chinese_name,english_name
奥波莱大学,University of Opole
奥波莱技术大学,Opole University of Technology
波兰科学院哥白尼天文中心,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences
波兰科学院物理化学研究所,Institute of Physical Chemistry of the Polish Academy of Sciences
波兰科学院流体机械研究所,Robert Szewalski Institute of Fluid-Flow Machinery Polish Academy of Sciences
比得哥熙卡基米日维尔基大学,Casimir the Great University in Bydgoszcz
比得哥熙音乐学院,Feliks Nowowiejski Academy of Music in Bydgoszcz
波兹南经济大学,Poznań University of Economics and Business
波兹南密茨凯维奇大学,Adam Mickiewicz University Poznań
波兹南生命科学大学,Poznań University of Life Sciences
比亚威斯托克技术大学,Białystok University of Technology
波兹南医科大学,Poznań University of Medical Sciences
波兹南工业大学,Poznań University of Technology
波兰科学院低温与结构研究所,Włodzimierz Trzebiatowski Institute of Low Temperature and Structure Research Polish Academy of Sciences
波兰科学院数学研究所,Institute of Mathematics of the Polish Academy of Sciences
波兰-日本信息技术学院,Polish-Japanese Academy of Information Technology
比亚威斯托克大学,University of Białystok
波兹南艺术大学,Magdalena Abakanowicz University of Arts in Poznań
波兰科学院物理研究所,Institute of Physics of the Polish Academy of Sciences
比得哥熙理工大学,Bydgoszcz University of Science and Technology
弗罗茨瓦夫大学,University of Wrocław
弗罗茨瓦夫理工大学,Wrocław University of Science and Technology
弗罗茨瓦夫环境与生命科学大学,Wrocław University of Environmental and Life Sciences
弗罗茨瓦夫美术学院,Eugeniusz Geppert Academy of Art and Design in Wrocław
弗罗茨瓦夫语言学院,Philological School of Higher Education in Wrocław
弗罗茨瓦夫管理学院,'Edukacja' College of Management in Wrocław
弗罗茨瓦夫经济大学,Wrocław University of Economics and Business
弗罗茨瓦夫艺术与设计学院,Eugeniusz Geppert Academy of Art and Design in Wrocław
弗罗茨瓦夫医科大学,Wrocław Medical University
弗罗茨瓦夫下西里西亚大学,Lower Silesian University in Wrocław
格丁尼亚海事大学,Gdynia Maritime University
格但斯克大学,University of Gdańsk
格但斯克工业大学,Gdańsk University of Technology
格但斯克希尼亚德茨基体育学院,Academy of Physical Education and Sport in Gdańsk
格但斯克音乐学院,Stanisław Moniuszko Academy of Music in Gdańsk
国际与区域合作高等学院,Gloger University of International and Regional Cooperation
格但斯克WSB梅里托大学,WSB Merito University in Gdańsk
华沙社会科学师范教育高等学校,Pedagogium University of Social Sciences in Warsaw
华沙社会心理学与人文大学,SWPS University of Social Sciences and Humanities
华沙大学,University of Warsaw
华沙经济学院,Warsaw School of Economics
华沙理工大学,Warsaw University of Technology
华沙经济与人文科学学院,University of Economics and Human Sciences in Warsaw
核化学与技术研究所,Institute of Nuclear Chemistry and Technology
华沙生命科学大学,Warsaw University of Life Sciences
华沙体育学院,Józef Piłsudski University of Physical Education in Warsaw
居里夫人大学,Maria Curie-Skłodowska University in Lublin
凯尔采圣十字技术大学,Kielce University of Technology
科兹明斯基大学,Kozminski University
卡托维兹西里西亚大学,University of Silesia in Katowice
卡托维兹西里西亚医科大学,Medical University of Silesia
克拉科夫技术大学,Cracow University of Technology
克拉科夫音乐学院,Academy of Music in Kraków
凯尔采大学,Jan Kochanowski University in Kielce
克拉科夫莫德爵夫斯基学院,Andrzej Frycz Modrzewski Krakow University
克拉科夫AGH科技大学,AGH University of Science and Technology
莱格尼察国立高等职业学校,Witelon State University of Applied Sciences in Legnica
罗兹工业大学,Lodz University of Technology
罗兹医科大学,Medical University of Lodz
罗兹音乐学院,Grażyna and Kiejstut Bacewicz Academy of Music in Łódź
罗兹国立电影电视戏剧学校,Leon Schiller National Film School in Łódź
利平斯基音乐学院,Karol Lipiński Academy of Music in Wrocław
卢布林医科大学,Medical University of Lublin
拉扎尔斯基大学,Lazarski University
卢布林经济与创新大学,University of Economics and Innovation in Lublin
罗兹大学,University of Lodz
帕德莱夫斯基音乐学院,Ignacy Jan Paderewski Academy of Music in Poznań
琴斯托霍瓦语言学院,Linguistic School of Częstochowa
热舒夫信息技术与管理大学,University of Information Technology and Management in Rzeszow
热舒夫大学,University of Rzeszów
热舒夫技术大学,Rzeszów University of Technology
什切青波美拉尼亚医科大学,Pomeranian Medical University in Szczecin
什切青大学,University of Szczecin
什切青艺术学院,Academy of Art in Szczecin
社会科学大学,University of Social Sciences
托伦哥白尼大学,Nicolaus Copernicus University in Toruń
沃沃明国际与区域合作大学,Zygmunt Gloger University of International and Regional Cooperation in Wołomin
WSB学院,Akademia WSB University
维斯瓦学院,Vistula University
席曼诺夫斯基音乐学院,Karol Szymanowski Academy of Music in Katowice
新松奇商学院-路易斯大学,National Louis University in Nowy Sącz
西波美拉尼亚技术大学,West Pomeranian University of Technology  Szczecin
西里西亚技术大学,Silesian University of Technology
肖邦音乐大学,Fryderyk Chopin University of Music
西维塔斯学院,Collegium Civitas
雅盖隆大学,Jagiellonian University
