chinese_name,english_name
卢索佛纳大学,Lusófona University
圣塔伦理工学院,Polytechnic Institute of Santarém
埃什托里尔酒店与旅游高等学校,Estoril Higher Institute for Tourism and Hotel Studies
埃武拉大学,University of Évora
山后-上杜罗大学,University of Trás-os-Montes and Alto Douro
布拉干萨理工学院,Polytechnic Institute of Bragança
恩里克王子葡萄牙大学,Portucalense University Infante D. Henrique
新里斯本大学,NOVA University Lisbon
欧洲大学,European University
波尔图大学,University of Porto
波尔图理工学院,Polytechnic of Porto
科英布拉大学,University of Coimbra
科英布拉理工学院,Polytechnic Institute of Coimbra
米尼奥大学,University of Minho
维塞乌理工学院,Polytechnic Institute of Viseu
艺术与设计学院,College of Arts and Design
莱利亚理工学院,Polytechnic Institute of Leiria
葡萄牙天主教大学,Catholic University of Portugal
贝拉英特拉大学,University of Beira Interior
贝雅理工学院,Polytechnic Institute of Beja
里斯本大学,University of Lisbon
里斯本大学学院,ISCTE - University Institute of Lisbon
里斯本理工学院,Lisbon Polytechnic Institute
阿威罗大学,University of Aveiro
阿尔加夫大学,University of Algarve
马德拉大学,University of Madeira
