chinese_name,english_name
奥莱尔·维拉库阿拉德大学,Universitatea Aurel Vlaicu din Arad
布加勒斯特经济学院,Bucharest University of Economic Studies
布加勒斯特国立艺术大学,Universitatea Nationala de Arte din Bucuresti
布加勒斯特许珀里翁大学,Hyperion University of Bucharest
布加勒斯特理工大学,National University of Science and Technology Politehnica Bucharest
布加勒斯特建筑与城市规划大学,Ion Mincu University of Architecture and Urbanism
布拉索夫特兰西瓦尼亚大学,Universitatea &quot;Transilvania&quot; din Brasov
巴克乌瓦西里亚历山德里大学,Vasile Alecsandri University of Bacău
布加勒斯特国立音乐大学,National University of Music Bucharest
巴比什-波雅依大学,Babeș-Bolyai University
布加勒斯特大学,Universitatea din Bucuresti
蒂米什瓦拉西部大学,West University of Timișoara
“迪米特里耶·坎泰米尔” 基督大学,Dimitrie Cantemir Christian University
国立戏剧与电影大学,National University of Theatre and Film I.L. Caragiale
克卢日·纳波卡艺术与设计大学,University of Art and Design Cluj-Napoca
康斯坦察奥维迪乌斯大学,Ovidius University of Constanța
克卢日-纳波卡农业科学与兽医大学,UNIVERSITATEA DE STIINTE AGRICOLE SI DE MEDICINA VETERINARA DIN CLUJ-NAPOCA
克拉约瓦大学,Universitatea din Craiova
“卡罗尔一世” 国防大学,Carol I National Defence University
克卢日·纳波卡格奥尔基·迪马国家音乐学院,Gheorghe Dima National Music Academy
克卢日·纳波卡技术大学,Technical University of Cluj-Napoca
罗马尼亚美国大学,Romanian-American University
苏恰瓦斯特凡大公大学,Ștefan Cel Mare University of Suceava
斯比卢哈雷特大学,Spiru Haret University
亚历山大伊万库兹大学,Universitatea &quot;Alexandru Ioan Cuza&quot; din Iasi
雅西国立艺术大学,George Enescu National University of Arts Iasi
雅西格里戈里·波帕医药大学,Grigore T. Popa University of Medicine and Pharmacy
雅西技术大学,Gheorghe Asachi Technical University of Iași
