chinese_name,english_name
MIREA-俄罗斯技术大学,MIREA - Russian Technological University
下诺夫哥罗德国立师范大学,Minin Nizhny Novgorod State Pedagogical University
下诺夫哥罗德国立建筑大学,Nizhny Novgorod State University of Architecture and Civil Engineering
下诺夫哥罗德国立技术大学,Nizhny Novgorod State Technical University
下诺夫哥罗德国立语言大学,Linguistics University of Nizhny Novgorod
下诺夫哥罗德格林卡国立音乐学院,Nizhny Novgorod State Glinka Conservatory
世界经济学院,Institute of World Economy
东北联邦大学,North-Eastern Federal University named after M.K. Ammosov
东方国家学院,Institute of Oriental Studies
东方经济法律人文学院,Eastern Economics and Law Humanitarian Academy
东西伯利亚国立工艺与管理大学,East Siberian State University of Technology and Management
东西伯利亚国立文化学院,East Siberian State Institute of Culture
乌德穆尔特国立大学,Udmurt State University
乌拉尔国立交通大学,Ural State University of Railway Transport
乌拉尔国立体育大学,Ural State University of Physical Culture
乌拉尔国立体育学院,Ural State Academy of Physical Culture
乌拉尔国立农业大学,Ural State Agrarian University
乌拉尔国立医科大学,Ural State Medical University
乌拉尔国立师范大学,Ural State Pedagogical University
乌拉尔国立矿业大学,Ural State Mining University
乌拉尔国立经济大学,Ural State University of Economics
乌拉尔国立音乐学院,Ural State Mussorgsky Conservatory
乌拉尔联邦大学,Ural Federal University named after the first President of Russia B.N. Yeltsin
乌法国立石油技术大学,Ufa State Petroleum Technological University
乌法国立艺术学院,Ufa State Institute of Arts
乌法科技大学,Ufa University of Science and Technology
乌赫塔国立技术大学,Ukhta State Technical University
乌里扬诺夫斯克国立大学,Ulyanovsk State University
乌里扬诺夫斯克国立师范大学,Ulyanovsk State Pedagogical University
乌里扬诺夫斯克国立技术大学,Ulyanovsk State Technical University
人文教育与信息技术学院,Institute of Humanitarian Education and Information Technologies
伊万诺沃国立动力大学,Ivanovo State Power Engineering University
伊万诺沃国立化工大学,Ivanovo State University of Chemical Technology
伊万诺沃国立大学,Ivanovo State University
伊万诺沃国立理工大学,Ivanovo State Polytechnic University
伊尔库茨克国立交通大学,Irkutsk State Transport University
伊尔库茨克国立农业大学,Irkutsk State Agrarian University
伊尔库茨克国立医科大学,Irkutsk State Medical University
伊尔库茨克国立大学,Irkutsk State University
伊曼努尔·康德波罗的海联邦大学,Immanuel Kant Baltic Federal University
伊热夫斯克国立农学院,Izhevsk State Agricultural Academy
伊热夫斯克国立技术大学,Izhevsk State Technical University
伏尔加国立交通大学,Privolzhsky State University of Water Transport
伏尔加国立体育、运动与旅游大学,Volga Region State University of Physical Culture  Sports and Tourism
伏尔加国立服务大学,Volga Region State University of Service
伏尔加国立电信与信息大学,Povolzhskiy State University of Telecommunications and Informatics
伏尔加地区肉奶制品生产与加工科研所,Volga Region Research Institute of Meat and Milk Production and Processing
