chinese_name,english_name
阿卜杜阿齐兹国王大学,King Abdulaziz University
阿卜杜拉国王科技大学,King Abdullah University of Science and Technology
达曼大学,University of Dammam
法赫德国王石油与矿业大学,King Fahd University of Petroleum and Minerals
哈立德国王大学,King Khalid University
吉赞大学,Jazan University
加西姆大学,Qassim University
麦地那伊斯兰大学,Islamic University of Madinah
马杰马大学,Majmaah University
诺拉·宾特·阿卜杜勒拉赫曼公主大学,Princess Nourah Bint Abdulrahman University
沙特电子大学,Saudi Electronic University
沙特国王大学,King Saud University
苏莱曼•拉吉哈大学,Sulaiman Alrajhi University
乌姆埃尔古拉大学,Umm Al-Qura University
伊玛目穆罕默德·本·沙特伊斯兰大学,Imam Mohammad Ibn Saud Islamic University
