chinese_name,english_name
淡马锡理工学院,Temasek Polytechnic
共和理工学院,Republic Polytechnic
建筑专科学院,BCA Academy
拉萨尔艺术学院,LASALLE College of the Arts
南洋艺术学院,Nanyang Academy of Fine Arts
南洋理工大学,Nanyang Technological University
南洋理工学院,Nanyang Polytechnic
新加坡管理大学,Singapore Management University
新加坡国立大学,National University of Singapore
新加坡理工学院,Singapore Polytechnic
新加坡科技与设计大学,Singapore University of Technology and Design
新加坡社科大学,Singapore University of Social Sciences
新加坡理工大学,Singapore Institute of Technology
新加坡航空学院,Singapore Aviation Academy
义安理工学院,Ngee Ann Polytechnic
