chinese_name,english_name
布拉迪斯拉发经济大学,University of Economics in Bratislava
班斯卡·比斯特里察艺术学院,Academy of Arts in Banská Bystrica
布拉迪斯拉发经济与管理大学,Bratislava University of Economics and Management
布拉迪斯拉发美术学院,Academy of Fine Arts and Design in Bratislava
班斯卡比斯特理察艺术学院,Academy of Arts Banská Bystrica
泛欧大学,Pan-European University
考门斯基大学,Comenius University Bratislava
科希策技术大学,Technical University of Košice
马杰伊·贝尔大学,Matej Bel University in Banská Bystrica
普雷绍夫大学,University of Prešov
斯洛伐克农业大学,Slovak University of Agriculture in Nitra
斯洛伐克技术大学,Slovak University of Technology in Bratislava
亚历山大·杜布切克大学,Alexander Dubček University of Trenčín
智者康斯坦丁大学,Constantine the Philosopher University in Nitra
