chinese_name,english_name
爱德沃斯学院,Eduvos
比勒陀利亚大学,University of Pretoria
波士顿城市校园与商学院,Boston City Campus & Business College
茨瓦尼科技大学,Tshwane University of Technology
戴美琳学院,Damelin
德班理工大学,Durban University of Technology
独立教育学院,The Independent Institute of Education
福特海尔大学,University of Fort Hare
亨里管理学院,Henley Business School
Inscape教育集团,Inscape Education Group
金山大学,"University of the Witwatersrand, Johannesburg"
基石学院,Cornerstone Institute
夸祖鲁-纳塔尔大学,University of Kwazulu-Natal
开普敦大学,University of Cape Town
克兰菲尔德学院,Cranefield College
开普半岛科技大学,Cape Peninsula University of Technology
开普敦服装设计学院,Cape Town College of Fashion Design
莱西姆学院,Lyceum College
里奇菲尔德理工学院,Richfield Graduate Institute of Technology
林波波大学,University of Limpopo
雷根特商学院,Regent Business School
雷根西斯商学院,Regenesys Business School
罗德斯大学,Rhodes University
MANCOSA学院,MANCOSA
南非大学,University of South Africa
纳尔逊·曼德拉大学,Nelson Mandela University
南非应用心理学学院,The South African College of Applied Psychology
南非电影媒体和现场表演学院,The South African School of Motion Picture Medium and Live Performance
斯塔笛奥学院,Stadio
市场营销管理研究学院,IMM Graduate School of Marketing
斯坦陵布什大学,University of Stellenbosch
沃尔特西苏鲁大学,Walter Sisulu University
西开普大学,University of the Western Cape
西北大学,North-West University
约翰内斯堡大学,University of Johannesburg
祖鲁兰大学,University of Zululand
自由州大学,University of the Free State
自由州中央理工大学,"Central University of Technology, Free State"
