chinese_name,english_name
世宗大学,Sejong University
世明大学,Semyung University
世翰大学,Sehan University
东义大学,Dong-Eui University
东义科学大学,Dong-Eui Institute of Technology
东亚保健大学,Dong-A Health University
东亚大学,Dong-A University
东元大学,Dongwon University
东园科学技术大学,Dongwon University of Science and Technology
东国大学,Dongguk University
东新大学,Dongshin University
东方文化大学院大学,Graduate School of Oriental Studies
东明大学,Dongmyong University
东洋大学,Dongyang University
东洋未来大学,Dongyang Mirae University
东西大学,Dongseo University
东首尔大学,Dong Seoul University
中央大学,Chung-Ang University
中央神学大学院大学,ChungAng Presbyterian Graduate School of Theology
中部大学,Joongbu University
乙支大学,Eulji University
亚洲大学,Ajou University
京东大学,Kyungdong University
京仁教育大学,Gyeongin National University of Education
京畿大学,Kyonggi University
京畿科学技术大学,Gyeonggi University of Science and Technology
京福大学,Kyungbok University
仁川大学,Incheon National University
仁德大学,Induk University
仁济大学,Inje University
仁荷大学,Inha University
仁荷工业专门大学,Inha Technical College
信韩大学,Shinhan University
光云大学,Kwangwoon University
光州大学,Gwangju University
光州女子大学,Gwangju Women's University
光州科学技术院,Gwangju Institute of Science and Technology
光神大学,Kwangshin University
全北大学,Jeonbuk National University
全北科学大学,Jeonbuk Science College
全南大学,Chonnam National University
全南科学大学,Chonnam Institute of Technology
全州VISION大学,Jeonju Vision University
全州大学,Jeonju University
全州纪全大学,Jeonju Kijeon College
加图立上智大学,Catholic Sangji College
加图立关东大学,Catholic Kwandong University
加图立大学,The Catholic University of Korea
加尔文大学,Calvin University
加耶大学,Gaya University
北韩大学院大学,University of North Korean Studies
协成大学,Hyupsung University
南部大学,Nambu University
南首尔大学,Namseoul University
又松信息大学,Woosong Information College
又松大学,Woosong University
又石大学,Woosuk University
同德女子大学,Dongduk Women's University
启明大学,Keimyung University
启明文化大学,Keimyung College University
唯元大学,Yuwon University
嘉泉大学,Gachon University
国民大学,Kookmin University
国立公州大学,Kongju National University
国立安东大学,Andong National University
国立昌原大学,Changwon National University
国立木浦大学,Mokpo National University
国立江陵原州大学,Kangnung-Wonju National University
国立癌症中心国际癌症大学院大学,Graduate School of Cancer Science and Policy  National Cancer Center
国立群山大学,Kunsan National University
国立釜庆大学,Pukyong National University
国立韩国交通大学,Korea National University of Transportation
国立韩国海洋大学,Korea Maritime & Ocean University
国立韩巴大学,Hanbat National University
国立顺天大学,Sunchon National University
