chinese_name,english_name
CUNEF大学,CUNEF University
IE大学,IE University
加泰罗尼亚国际大学,International University of Catalonia
加泰罗尼亚理工大学,Polytechnic University of Catalonia
加的斯大学,University of Cádiz
加纳利欧洲大学,European University of the Canary Islands
加那利群岛拉斯帕尔马斯大学,University of Las Palmas de Gran Canaria
卡塔赫纳理工大学,Polytechnic University of Cartagena
卡德纳尔埃雷拉大学,CEU Cardenal Herrera University
卡斯蒂利亚拉曼却大学,University of Castilla-La Mancha
卡米亚斯宗座大学,Comillas Pontifical University
卡米洛何塞塞拉大学,Camilo José Cela University
哈恩大学,University of Jaén
圣地亚哥德孔波斯特拉大学,University of Santiago de Compostela
圣安东尼奥天主教大学,Catholic University of San Antonio
圣帕布洛大学,San Pablo CEU University
坎塔布里亚大学,University of Cantabria
埃斯特雷马杜拉大学,University of Extremadura
塞万提斯米格尔欧洲大学,European University Miguel de Cervantes
塞维利亚大学,University of Seville
大西洋欧洲大学,European University of the Atlantic
奥维耶多大学,University of Oviedo
安东尼奥·德·内夫里哈大学,Antonio de Nebrija University
安达卢西亚国际大学,International University of Andalusia
安达卢西亚洛约拉大学,Loyola University Andalusia
巴利亚多利德大学,University of Valladolid
巴利阿里群岛大学,University of the Balearic Islands
巴塞罗那大学,University of Barcelona
巴塞罗那自治大学,Autonomous University of Barcelona
巴斯克大学,University of the Basque Country
布尔戈斯大学,University of Burgos
帕布罗·德·奥拉韦德大学,Pablo de Olavide University
庞培法布拉大学,Pompeu Fabra University
弗朗西斯科·德·维多利亚大学,Francisco de Vitoria University
德乌斯托大学,University of Deusto
拉古纳大学,University of La Laguna
拉科鲁尼亚大学,University of A Coruña
拉蒙鲁尔大学,Ramon Llull University
拉里奥哈国际大学,International University of La Rioja
拉里奥哈大学,University of La Rioja
智者阿方索十世大学,Alfonso X El Sabio University
格拉纳达大学,University of Granada
梅南德斯·佩拉尤国际大学,Menéndez Pelayo International University
比亚努埃瓦国际大学,Villanueva International University
比戈大学,University of Vigo
海梅一世大学,Jaume I University
瓦伦西亚国际大学,International University of Valencia
瓦伦西亚圣维森特玛蒂尔天主教大学,Catholic University of Valencia
瓦伦西亚大学,University of Valencia
瓦伦西亚欧洲大学,European University of Valencia
瓦伦西亚理工大学,Polytechnic University of Valencia
科尔多瓦大学,University of Córdoba
穆尔西亚大学,University of Murcia
米格尔·埃尔南德斯·德·埃尔切大学,Miguel Hernández University of Elche
纳瓦拉公立大学,Public University of Navarre
纳瓦拉大学,University of Navarra
维克大学—加泰罗尼亚中央大学,University of Vic - Central University of Catalonia
维尔瓦大学,University of Huelva
罗维拉·依维尔基里大学,Rovira i Virgili University
胡安卡洛斯国王大学,King Juan Carlos University
莱昂大学,University of León
莱里达大学,University of Lleida
萨拉戈萨大学,University of Zaragoza
萨拉曼卡大学,University of Salamanca
萨拉曼卡天主教大学,Pontifical University of Salamanca
蒙德拉贡大学,Mondragon University
赫罗纳大学,University of Girona
阿利坎特大学,University of Alicante
阿尔卡拉大学,University of Alcalá
阿尔梅利亚大学,University of Almería
马德里卡洛斯三世大学,Carlos III University of Madrid
马德里康普顿斯大学,Complutense University of Madrid
马德里欧洲大学,European University of Madrid
马德里理工大学,Technical University of Madrid
马德里自治大学,Autonomous University of Madrid
马拉加大学,University of Málaga
