chinese_name,english_name
世界海事大学,World Maritime University
乌普萨拉大学,Uppsala University
于默奥大学,Umeå University
克里斯蒂安斯塔德大学学院,Kristianstad University
卡尔斯塔德大学,Karlstad University
卡罗林斯卡医学院,Karolinska Institute
厄勒布鲁大学,Örebro University
吕勒奥工业大学,Luleå University of Technology
哈尔姆斯塔德大学学院,Halmstad University
哥德堡大学,University of Gothenburg
布罗斯大学学院,University of Borås
布莱京理工学院,Blekinge Institute of Technology
延雪平大学,Jönköping University
斯德哥尔摩大学,Stockholm University
斯德哥尔摩经济学院,Stockholm School of Economics
林奈大学,Linnaeus University
林雪平大学,Linköping University
查尔姆斯理工大学,Chalmers University of Technology
瑞典中部大学,Mid Sweden University
瑞典农业科学大学,Swedish University of Agricultural Sciences
皇家工学院,Royal Institute of Technology
索德脱恩大学学院,Södertörn University
耶夫勒大学学院,University of Gävle
舍伍德大学学院,University of Skövde
艺术、工艺与设计大学,Konstfack University of Arts  Crafts and Design
西部大学学院,University West
贝克曼斯设计学院,Beckmans College of Design
达拉那大学学院,Dalarna University
隆德大学,Lund University
马尔默大学,Malmö University
麦拉达伦大学,Mälardalen University
