chinese_name,english_name
伯尔尼大学,University of Bern
伯尔尼高等专业学院,Bern University of Applied Sciences
卡理多斯高等专业学院,Kalaidos University of Applied Sciences
卢塞恩/瑞士中部高等专业学院,Lucerne University of Applied Sciences and Arts
卢塞恩大学,University of Lucerne
圣加仑大学,University of St.Gallen
巴塞尔大学,University of Basel
弗里堡大学,University of Fribourg
提契诺大学,University of Italian Switzerland
日内瓦国际关系及发展高等学院,Graduate Institute of International and Development Studies  Geneva
日内瓦大学,University of Geneva
格劳宾登州高等专业学院,University of Applied Sciences of the Grisons
洛桑大学,University of Lausanne
洛桑联邦理工大学,Swiss Federal Institute of Technology Lausanne
瑞士UMEF应用科学大学学院,Swiss UMEF University of Applied Sciences Institute
瑞士东部高等专业学院,University of Applied Sciences of Eastern Switzerland
瑞士中医药大学学院,Swiss University Institute for Traditional Chinese Medicine
瑞士商学院,SBS Swiss Business School
瑞士意大利语区高等专业学院,University of Applied Sciences and Arts of Southern Switzerland
瑞士西北高等专业学院,University of Applied Sciences and Arts Northwestern Switzerland
瑞士西部高等专业学院,University of Applied Sciences and Arts Western Switzerland
纽沙泰尔大学,University of Neuchâtel
苏黎世大学,University of Zurich
苏黎世应用科学高等专业学院,Zurich University of Applied Sciences
苏黎世联邦理工大学,ETH Zurich
苏黎世艺术高等专业学院,Zurich University of the Arts
