chinese_name,english_name
北柳皇家大学,Rajabhat Rajanagarindra University
北碧皇家大学,Kanchanaburi Rajabhat University
碧武里皇家大学,Phetchaburi Rajabhat University
北清迈大学,North-Chiang Mai University
巴吞他尼大学,Pathumthani University
碧差汶皇家大学,Phetchabun Rajabhat University
博乐大学,Kasem Bundit University
博仁大学,Dhurakij Pundit University
班颂德昭帕亚皇家大学,Bansomdejchaopraya Rajabhat University
北曼谷先皇技术学院,King Mongkut's University of Technology North Bangkok
程逸皇家大学,Uttaradit Rajabhat University
川登喜大学,Suan Dusit University
大城皇家大学,Phranakhon Si Ayutthaya Rajabhat University
东南亚大学,Southeast Asia University
东北大学,Northeastern University
东方皇家理工大学,Rajamangala University of Technology Tawan-ok
东方大学,Burapha University
东方管理科技大学,The Eastern University of Management and Technology
东亚大学,Eastern Asia University
东北皇家理工大学,Rajamangala University of Technology Isan
东南曼谷大学,Southeast Bangkok University
东硕学院,Thongsook College
法塔尼大学,Fatoni University
佛统皇家大学,Nakhon Pathom Rajabhat University
国立法政大学,Thammasat University
甘烹碧皇家大学,Kamphaeng Phet Rajabhat University
国立发展管理学院,National Institute of Development Administration
格乐大学,Krirk University
皇家玛哈沙拉坎大学,Rajabhat Maha Sarakham University
呵叻皇家大学,Nakhon Ratchasima Rajabhat University
皇太后大学,Mae Fah Luang University
华侨崇圣大学,Huachiew Chalermprakiet University
合艾大学,Hatyai University
皇家园大学,Rajapark Institute
呵叻学院,Nakhonratchasima College
孔敬大学,Khon Kaen University
黎府皇家大学,Loei Rajabhat University
拉塔纳工商大学,Rattana Bundit University
兰塔纳功欣皇家理工大学,Rajamangala University of Technology Rattanakosin
兰实大学,Rangsit University
兰那皇家理工大学,Rajamangala University of Technology Lanna
兰帕潘尼皇家大学,Rambhai Barni Rajabhat University
兰甘亨大学,Ramkhamhaeng University
拉卡邦先皇技术学院,King Mongkut's Institute of Technology Ladkrabang
曼谷皇家理工大学,Rajamangala University of Technology Krungthep
曼谷吞武里大学,Bangkok Thonburi University
马汉科理工大学,Mahanakorn University of Technology
梅州大学,Maejo University
摩诃朱拉隆功大学,Mahachulalongkornrajavidyalaya University
曼谷大学,Bangkok University
玛哈沙拉坎大学,Mahasarakham University
玛希隆大学,Mahidol University
曼谷北部大学,North Bangkok University
那空帕农大学,Nakhon Phanom University
农业大学,Kasetsart University
南邦国际技术学院,Lampang Inter-Tech College
那空沙旺皇家大学,Nakhon Sawan Rajabhat University
那黎宣大学,Naresuan University
南邦皇家大学,Lampang Rajabhat University
普吉皇家大学,Phuket Rajabhat University
帕尧大学,University of Phayao
帕纳空皇家理工大学,Rajamangala University of Technology Phra Nakhon
披汶·颂堪皇家大学,Pibulsongkram Rajabhat University
帕纳空皇家大学,Phranakhon Rajabhat University
清迈大学,Chiang Mai University
清莱皇家大学,Chiang Rai Rajabhat University
清迈皇家大学,Chiang Mai Rajabhat University
瑞嘉普大学,Rajapruk University
圣约翰大学,Saint John's University
诗纳卡琳威洛大学,Srinakharinwirot University
苏兰拉里理工大学,Suranaree University of Technology
素万那普理工学院,Suvarnabhumi Institute of Technology
斯巴顿大学,Sripatum University
沙功那空皇家大学,Sakon Nakhon Rajabhat University
斯坦福国际大学,Stamford International University
素林皇家大学,Surindra Rajabhat University
宋卡王子大学,Prince of Songkla University
吞武里皇家大学,Dhonburi Rajabhat University
泰国基督教大学,Christian University of Thailand
塔亚武里皇家理工大学,Rajamangala University of Technology Thanyaburi
泰国国立体育大学,Thailand National Sports University
泰国艺术发展研究院,Bunditpatanasilpa Institute of Fine Arts
泰国国王科技大学,King Mongkut's University of Technology Thonburi
泰国素叻他尼皇家大学,Suratthani Rajabhat University
泰国商会大学,The University of the Thai Chamber of Commerce
武里喃皇家大学,Buriram Rajabhat University
瓦莱阿隆功皇家大学,Valaya Alongkorn Rajabhat University
瓦莱岚大学,Walailak University
翁查瓦里功大学,Vongchavalitkul University
维迪亚西里梅迪科学技术研究院,Vidyasirimedhi Institute of Science and Technology
乌汶大学,Ubon Ratchathani University
乌隆他尼皇家大学,Udon Thani Rajabhat University
乌汶皇家大学,Ubon Ratchathani Rajabhat University
宣素那他皇家大学,Suan Sunandha Rajabhat University
暹罗技术学院,Siam Technology College
西北大学,Payap University
西那瓦国际大学,Shinawatra University
暹罗大学,Siam University
艺术大学,Silpakorn University
亚太国际大学,Asia-Pacific International University
易三仓大学,Assumption University
亚洲理工学院,Asian Institute of Technology
庄甲盛皇家大学,Chandrakasem Rajabhat University
正大管理学院,Panyapiwat Institute of Management
朱拉隆功大学,Chulalongkorn University
