chinese_name,english_name,website,province,city
安卡拉哈哲巴依让维利大学,Ankara Haci Bayram Veli University,,,
埃尔卡坎大学,Necmettin Erbakan University,,,
埃斯基谢尔奥斯曼齐大学,Eskisehir Osmangazi University,,,
埃尔吉耶斯大学,Erciyes University,,,
爱琴海大学,Ege University,,,
阿卡德尼兹大学,Akdeniz University,,,
安卡拉大学,Ankara University,,,
安卡拉伊迪迪林贝亚兹大学,Ankara Yildirim Beyazit University,,,
安塔利亚比利时大学,Antalya Bilim University,,,
阿塔图克大学,Ataturk University,,,
埃斯基谢尔技术大学,Eskisehir Technical University,,,
阿菲恩科塔特佩大学,Afyon Kocatepe University,,,
巴里克希尔大学,Balikesir University,,,
毕尔肯大学,Ihsan Dogramaci Bilkent University,,,
贝彻思大学,Bahcesehir University,,,
博卢阿班特伊扎特拜萨尔大学,Bolu Abant Izzet Baysal University,,,
多鲁大学,Anadolu University,,,
度库兹埃路尔大学,Dokuz Eylul University,,,
菲拉特大学,Firat University,,,
国防大学,National Defense University,,,
哈西德佩大学,Hacettepe University,,,
海峡大学,Bogazici University,,,
警察学院,Police Academy,,,
加齐大学,Gazi University,,,
吉布斯技术大学,Gebze Technical University,,,
KOC大学,Koc University,,,
库库罗瓦大学,Cukurova University,,,
科贾埃利大学,Kocaeli University,,,
卡拉布克大学,Karabuk University,,,
马尼萨塞拉尔巴亚尔大学,Manisa Celal Bayar University,,,
马尔马拉大学,Marmara University,,,
梅尔辛大学,Mersin University,,,
玛格拉锡特卡克茨曼大学,Mugla Sitki Kocman University,,,
尼桑塔斯大学,Nisantasi University,,,
帕姆卡莱大学,Pamukkale University,,,
萨班哲大学,Sabanci University,,,
萨卡利亚大学,Sakarya University,,,
塞尔库克大学,Selcuk University,,,
乌鲁达大学,Uludag University,,,
五一九大学,Ondokuz Mayis University,,,
乌斯库达大学,Uskudar University,,,
锡瓦斯库胡里耶特大学,Sivas Republican University,,,
叶迪特佩大学,Yeditepe University,,,
伊斯坦布尔奥坎大学,Istanbul Okan University,,,
伊兹密尔经济大学,Izmir University of Economics,,,
伊斯坦布尔大学,Istanbul University,,,
伊斯坦布尔商业大学,Istanbul Commerce University,,,
伊斯坦布尔技术大学,Istanbul Technical University,,,
伊斯坦布尔萨巴哈丁大学,Istanbul Sabahattin Zaim University,,,
伊斯坦布尔埃森尤特大学,Istanbul Esenyurt University,,,
伊斯坦布尔比尔基大学,Istanbul Bilgi University,,,
伊斯坦布尔阿依丁大学,Istanbul Aydin University,,,
伊尔迪兹技术大学,Yildiz Technical University,,,
伊斯坦布尔梅迪波尔大学,Istanbul Medipol University,,,
伊斯坦布尔文化大学,Istanbul Kultur University,,,
伊斯坦布尔大学“切拉帕夏”,Istanbul University-Cerrahpaşa,,,
中东科技大学,Middle East Technical University,,,
