chinese_name,english_name
阿联酋大学,United Arab Emirates University
阿联酋酒店管理学院,The Emirates Academy of Hospitality Management
阿联酋航空大学,Emirates Aviation University
迪拜加拿大大学,Canadian University Dubai
迪拜英国大学,British University in Dubai
地平线大学学院,Skyline University College
迪拜美国大学,The American University in Dubai
哈里发大学,Khalifa University
哈伊马角医药卫生科学大学,RAK Medical and Health Sciences University
卡西米亚大学,Al Qasimiya University
穆罕默德·本·扎耶德人工智能大学,Mohamed Bin Zayed
沙迦美国大学,American University of Sharjah
沙迦大学,University of Sharjah
