chinese_name,english_name
阿伯泰大学,Abertay University
奥斯特大学,University of Ulster
阿斯顿大学,Aston University
艾伯瑞斯特维斯大学,Aberystwyth University
安格利亚罗斯金大学,Anglia Ruskin University
埃奇希尔大学,Edge Hill University
爱丁堡玛格丽特女王大学,Queen Margaret University  Edinburgh
埃克斯特大学,University of Exeter
埃塞克斯大学,University of Essex
爱丁堡大学,The University of Edinburgh
阿伯丁大学,University of Aberdeen
北安普顿大学,The University of Northampton
贝尔法斯特女王大学,The Queen's University of Belfast
伯恩茅斯艺术大学,Arts University Bournemouth
BIMM大学,BIMM University
贝福德郡大学,University of Bedfordshire
白金汉郡新大学,Buckinghamshire New University
白金汉大学,The University of Buckingham
布里斯托大学,University of Bristol
布莱顿大学,University of Brighton
布莱德福德大学,University of Bradford
伯恩茅斯大学,Bournemouth University
博尔顿大学,University of Bolton
伯明翰大学学院,University College Birmingham
伯明翰城市大学,Birmingham City University
伯明翰大学,University of Birmingham
巴斯思巴大学,Bath Spa University
巴斯大学,The University of Bath
班戈大学,Bangor University
创意艺术大学,University for the Creative Arts
德蒙特福特大学,De Montfort University
德比大学,The University of Derby
蒂赛德大学,Teesside University
杜伦大学,University of Durham
帝国理工学院,Imperial College London
东安格利亚大学,University of East Anglia
东伦敦大学,University of East London
邓迪大学,University of Dundee
福尔茅斯大学,Falmouth University
法律大学,The University of Law
高地与群岛大学,University of the Highlands and Islands
国家影视学院,National Film and Television School
格洛斯特郡大学,University of Gloucestershire
格拉斯哥咯里多尼亚大学,Glasgow Caledonian University
格拉斯哥大学,University of Glasgow
格罗斯泰斯特主教大学,Bishop Grosseteste University
格林尼治大学,University of Greenwich
皇家北方音乐学院,Royal Northern College of Music
华威大学,The University of Warwick
哈珀•亚当斯大学,Harper Adams University
赫瑞-瓦特大学,Heriot-Watt University
哈德斯菲尔德大学,University of Huddersfield
赫尔大学,The University of Hull
赫特福德郡大学,University of Hertfordshire
皇家农业大学,Royal Agricultural University
皇家艺术学院,Royal College of Art
皇家音乐学院,Royal College of Music
哈特伯瑞大学,Hartpury University
吉尔德霍尔音乐与戏剧学院,Guildhall School of Music and Drama
金斯顿大学,Kingston University
剑桥大学,University of Cambridge
基尔大学,University of Keele
建筑联盟学院,Architectural Association School of Architecture
开放大学,The Open University
坎特伯雷大学,Canterbury Christ Church University
卡迪夫都市大学,Cardiff Metropolitan University
卡迪夫大学,Cardiff University
考文垂大学,Coventry University
克兰菲尔德大学,Cranfield University
坎布里亚大学,University of Cumbria
肯特大学,University of Kent
伦敦雷文斯本大学,Ravensbourne University London
伦敦玛丽女王大学,Queen Mary University of London
雷丁大学,University of Reading
伦敦摄政大学,Regent's University London
罗伯特高登大学,Robert Gordon University  Aberdeen
罗汉普顿大学,Roehampton University
伦敦大学皇家中央演讲与戏剧学院,Royal Central School of Speech and Drama  University of London
兰卡斯特大学,The University of Lancaster
利兹大学,The University of Leeds
利兹三一大学,Leeds Trinity University
莱斯特大学,University of Leicester
伦敦大学伦敦卫生与热带医学学院,London School of Hygiene and Tropical Medicine  University of London
伦敦政治经济学院,The London School of Economics and Political Science
伦敦南岸大学,London South Bank University
伦敦大学学院,University College London
拉夫堡大学,Loughborough University
伦敦大学亚非研究学院,School of Oriental and African Studies  University of London
伦敦艺术大学,University of the Arts London
伦敦布鲁内尔大学,Brunel University London
伦敦大学城市学院,City  University of London
龙比亚大学,Edinburgh Napier University
伦敦大学格尔德史密斯学院,Goldsmiths College  University of London
伦敦国王学院,King's College London
伦敦大学伯克贝克学院,Birkbeck College  University of London
伦敦大学皇家音乐学院,Royal Academy of Music  University of London
伦敦大学高级研究学院（高等法律研究院）,"School of Advanced Study (Institute of Advanced Legal Studies), University of London"
伦敦大学考陶德艺术学院,Courtauld Institute of Art  University of London
伦敦大学皇家霍洛威和贝德福德新学院,Royal Holloway and Bedford New College  University of London
伦敦大学癌症研究所皇家癌症医院,Institute of Cancer Research: Royal Cancer Hospital  University of London
利物浦热带医学院,Liverpool School of Tropical Medicine
利兹艺术大学,Leeds Arts University
罗斯布鲁弗戏剧演艺学院,Rose Bruford College of Theatre and Performance
伦敦大学高等研究学院（瓦尔堡研究院）,School of Advanced Study (Warburg Institute)  University of London
伦敦大学圣乔治医学院,St George's Hospital Medical School  University of London
雷克瑟姆大学,Wrexham University
利兹贝克特大学,Leeds Beckett University
伦敦大学皇家兽医院,The Royal Veterinary College  University of London
伦敦城市大学,London Metropolitan University
林肯大学,University of Lincoln
利物浦大学,University of Liverpool
利物浦希望大学,Liverpool Hope University
利物浦约翰摩尔斯大学,Liverpool John Moores University
伦敦大学,University of London
伦敦商学院,London Business School
曼彻斯特大学,The University of Manchester
曼彻斯特城市大学,Manchester Metropolitan University
密德萨斯大学,Middlesex University
美国里士满国际大学伦敦分校,Richmond  The American International University in London
诺森比亚大学,University of Northumbria at Newcastle
诺里奇艺术大学,Norwich University of the Arts
诺丁汉大学,The University of Nottingham
牛津大学,University of Oxford
牛津布鲁克斯大学,Oxford Brookes University
纽卡斯尔大学,University of Newcastle upon Tyne
南威尔士大学,University of South Wales
南安普顿大学,University of Southampton
诺丁汉特伦特大学,Nottingham Trent University
普利茅斯大学,University of Plymouth
朴次茅斯大学,University of Portsmouth
普利茅斯艺术大学,Arts University Plymouth
切斯特大学,University of Chester
奇切斯特大学,University of Chichester
苏格兰皇家音乐学院,Royal Conservatoire of Scotland
索尔福德大学,University of Salford
圣安德鲁斯大学,University of St Andrews
圣马克与圣约翰大学,University of St Mark and St John  Plymouth
斯塔福德郡大学,Staffordshire University
斯特灵大学,University of Stirling
斯特拉斯克莱德大学,University of Strathclyde
桑德兰大学,University of Sunderland
萨里大学,University of Surrey
萨塞克斯大学,University of Sussex
斯旺西大学,Swansea University
圣三一拉邦音乐与舞蹈学院,Trinity Laban Conservatoire of Music and Dance
索伦特大学,Solent University
萨福克大学,University of Suffolk
特威克南圣玛丽大学,St Mary's University Twickenham London
威尔士大学,University of Wales
威尔士三一圣大卫大学,University of Wales Trinity Saint David
威斯敏斯特大学,The University of Westminster
温彻斯特大学,The University of Winchester
伍尔弗汉普顿大学,University of Wolverhampton
伍赛斯特大学,University of Worcester
谢菲尔德大学,The University of Sheffield
谢菲尔德哈勒姆大学,Sheffield Hallam University
西伦敦大学,University of West London
西苏格兰大学,University of the West of Scotland
西英格兰大学-布里斯托,University of the West of England  Bristol
英博夏尔大学,BPP University
约克圣约翰大学,York St John University
约克大学,University of York
中央兰开夏大学,University of Central Lancashire
