chinese_name,english_name
埃尔金社区学院,Elgin Community College
阿什兰大学,Ashland University
阿维拉大学,Avila University
埃德蒙学院,Edmonds College
奥尔巴尼法学院,Albany Law School
奥古斯塔娜学院（伊利诺伊州）,Augustana College
奥古斯塔娜大学,Augustana University
埃默里与亨利学院,Emory and Henry College
阿尔弗雷德大学,Alfred University
阿卡迪亚大学,Arcadia University
爱纳学院,Iona College
奥勒尔罗伯茨大学,Oral Roberts University
阿肯色大学医学院,University of Arkansas for Medical Sciences
奥隆学院,Ohlone College
奥克兰大学,Oakland University
爱荷华州立大学,Iowa State University
阿克伦大学,The University of Akron
阿拉巴马大学伯明翰分校,The University of Alabama at Birmingham
爱达荷大学,The University of Idaho
阿德尔菲大学,Adelphi University
阿德勒大学,Adler University
阿尔罕布拉医科大学,Alhambra Medical University
奥尔巴尼药学与健康科学学院,Albany College of Pharmacy and Health Sciences
埃克德学院,Eckerd College
阿尔玛学院,Alma College
阿拉巴马农工大学,Alabama Agricultural and Mechanical University
阿尔比恩学院,Albion College
奥格尔绍普大学,Oglethorpe University
艾尔弗尼亚大学,Alvernia University
阿肯色州立大学,Arkansas State University
阿涅斯斯科特学院,Agnes Scott College
奥特本大学,Otterbein University
埃弗雷特社区学院,Everett Community College
阿勒格尼学院,Allegheny College
阿肯色大学史密斯堡分校,University of Arkansas at Fort Smith
阿拉斯加大学费尔班克斯分校,University of Alaska Fairbanks
奥柏林学院,Oberlin College
奥本大学蒙哥马利分校,Auburn University at Montgomery
阿肯色理工大学,Arkansas Tech University
奥尔布赖特学院,Albright College
爱荷华大学,The University of Iowa
阿祖萨太平洋大学,Azusa Pacific University
阿肯色大学派恩布拉夫分校,University of Arkansas at Pine Bluff
埃克学院,Eckerd College
安吉洛州立大学,Angelo State University
阿拉巴马大学,The University of Alabama
奥本大学,Auburn University
阿帕拉契州立大学,Appalachian State University
安柏瑞德航空航天大学,Embry-Riddle Aeronautical University
阿莱恩特国际大学,Alliant International University
奥利弗拿撒勒大学,Olivet Nazarene University
阿斯伯里大学,Asbury University
奥罗拉大学,Aurora University
阿肯色大学菲耶特维尔分校,University of Arkansas  Fayetteville
奥尔巴尼州立大学,Albany State University
埃尔姆斯女子学院,College of Our Lady of the Elms
安提亚克大学,Antioch University
阿尔维诺学院,Alverno College
奥斯汀佩伊州立大学,Austin Peay State University
阿默斯特学院,Amherst College
埃奇伍德大学,Edgewood College
安德森大学,Anderson University
爱达荷州立大学,Idaho State University
奥尔巴尼医学院,Albany Medical College
奥斯丁学院,Austin College
埃尔迈拉学院,Elmira College
奥古斯塔大学,Augusta University
埃德蒙社区学院,Edmonds Community College
