chinese_name,english_name
敖德萨国立理工大学,Odessa Polytechnic National University
敖德萨国立音乐学院,Odesa National A.V. Nezhdanova Academy of Music
敖德萨国立农业大学,Odesa State Agrarian University
敖德萨国立经济大学,Odessa National Economic University
敖德萨国立医科大学,Odessa National Medical University
敖德萨国立大学,Odesa I.I. Mechnikov National University
敖德萨国立海洋大学,Odessa National Maritime University
鲍里斯•格林申科基辅大学,Borys Grinchenko Kyiv University
别尔江斯克国立师范大学,Berdyansk State Pedagogical University
波尔塔瓦国立农学院,Poltava State Agrarian Academy
波尔塔瓦国立师范大学,Poltava V.G. Korolenko National Pedagogical University
波尔塔瓦国立医科大学,Poltava State Medical University
白采尔科维国立农业大学,Bila Tserkva National Agrarian University
波尔塔瓦经济与贸易大学,Poltava University of Economics and Trade
别尔江斯克管理与商务大学,Berdyansk University Of Management and Business Ltd
顿涅茨克国立经济与贸易大学,Donetsk National University of Economics and Trade named after Mykhailo Tugan-Baranovsky
第聂伯文化艺术学院,Dnipropetrovsk College of Culture and Arts
顿涅茨克国立大学,Donetsk National University
东乌克兰国立大学,Volodymyr Dahl East Ukrainian National University
顿涅茨克国立技术大学,Donetsk National Technical University
顿巴斯国立师范大学,Donbass State Pedagogical University
顿涅茨克国立医科大学,M.Gorky Donetsk National Medical University
德罗霍贝奇国立师范大学,Drohobych Ivan Franko State Pedagogical University
顿巴斯国立工程学院,Donbass State Engineering Academy
东欧经济与管理大学,Eastern European University of Economics and Management
东欧大学,Rauf Ablyazov East European University
第聂伯理工大学,Dnipro University of Technology
第聂伯彼得罗夫斯克阿尔弗雷德·诺贝尔大学克列缅丘格分校,Kremenchuk Institute of Private Educational Establishment Alfred Nobel University Dnipropetrovsk
国立药科大学,National University of Pharmacy
国立智能技术与通信大学,State University of Intellectual Technologies and Communications
国立经贸大学,State University of Trade and Economics
国立大学“敖德萨海洋学院”,National University Odessa Maritime Academy
国立生物技术大学,State Biotechnological University
国立大学敖德萨法学院,National University Odesa Law Academy
国立造型艺术与建筑学院,National Academy of Fine Arts and Architecture
国际技术大学“尼古拉耶夫理工学院”,International Technological University Mykolayiv Polytechnics
国际科技大学,International Scientific and Technical University
国立统计、会计与审计学院,National Academy of Statistics  Accounting and Audit
国家内务学院,National Academy of Internal Affairs
国立医科大学,Bogomolets National Medical University
国立大学“敖德萨法律学院”,National University Odesa Law Academy
国际人文大学,International Humanitarian University
国立信息与通信技术大学,State University of Information and Communication Technology
国立文化与艺术管理学院,National Academy of Culture and Arts Management
国立大学“波尔塔瓦理工学院”,National University “Yuri Kondratyuk Poltava Polytechnic”
国立航空大学,National Aviation University
国立技术大学哈尔科夫工学院,National Technical University Kharkiv Polytechnic Institute
国立交通大学,National Transport University
国立食品技术大学,National University of Food Technologies
国立水与环境工程大学,National University of Water and Environmental Engineering
国立艺术与建筑学院,National Academy of Fine Arts and Architecture
国立造船大学,Admiral Makarov National University of Shipbuilding
格卢霍夫国立师范大学,Oleksandr Dovzhenko Hlukhiv National Pedagogical University
国立大学“基辅莫吉拉学院”,National University of Kyiv-Mohyla Academy
国立航空航天大学哈尔科夫航空学院,National Aerospace University – Kharkiv Aviation Institute
国立美术与建筑学院,National Academy of Fine Arts and Architecture
国立文化与艺术管理人员学院,National Academy of Managerial Staff of Culture and Arts
国立大学扎波罗热工学院,Zaporizhzhia Polytechnic National university
哈尔科夫理工学院,Kharkiv Polytechnic Institute
哈尔科夫国立内务大学,Kharkiv National University of Internal Affairs
哈尔科夫国立工艺美术学院,Kharkiv State Academy of Design and Arts
哈尔科夫国立体育学院,Kharkiv State Academy of Physical Culture
哈尔科夫国立文化学院,Kharkiv State Academy of Culture
哈尔科夫国立医科大学,Kharkiv National Medical University
赫尔松国立大学,Kherson State University
赫尔松国立技术大学,Kherson National Technical University
赫梅利尼茨基国立大学,Khmelnytskyi National University
哈尔科夫国立大学,V.N.Karazin Kharkiv National University
哈尔科夫国立经济大学,Simon Kuznets Kharkiv National University of Economics
哈尔科夫国立师范大学,H.S.Skovoroda Kharkiv National Pedagogical University
哈尔科夫国立空军大学,Ivan Kozhedub Kharkiv National Air Force University
哈尔科夫国立汽车道路大学,Kharkiv National Automobile and Highway University
赫尔松国立海事学院,Kherson State Maritime Academy
哈尔科夫国立市政大学,Kharkiv National University of Urban Economy named after O.M. Beketov
黑海国立大学,Petro Mohyla Black Sea National University
