chinese_name,english_name
安迪扬国立外国语学院,Andijan State Institute of Foreign Languages
布哈拉州立大学,Bukhara State University
费尔干纳公共卫生医学院,Ferghana Medical Institute of Public Health
国家研究型大学塔什干灌溉与农业机械学院,National Research University Tashkent Institute of Irrigation and Agricultural Mechanization Engineers
国立艺术与设计学院,National Institute of Fine Art and design named after Kamoliddin Bekhzod
纳曼干工程技术学院,Namangan Institute of Engineering and Technology
世界经济与外交大学,University of World Economy and Diplomacy
“丝绸之路”国际旅游与文化遗产大学,Silk Road International University of Tourism and Cultural Heritage
撒马尔罕国立大学,Samarkand State University named after Sharof Rashidov
撒马尔罕经济与服务学院,Samarkand Institute of Economics and Service
塔什干国立法律大学,Tashkent State University of Law
泰尔梅兹国立大学,Termez State University
塔什干国立师范大学,Tashkent State Pedagogical University named after Nizami
塔什干制药学院,Tashkent Pharmaceutical Institute
塔什干国立技术大学,Tashkent State Technical University named after Islam Karimov
塔什干国立乌兹别克语言与文学大学,Tashkent State University of the Uzbek Language and Literature
塔什干奇尔奇克国立师范学院,Chirchik State Pedagogical Institute of Tashkent Region
塔什干国立东方研究大学,Tashkent state university of oriental studies
塔什干国立农业大学,Tashkent State Agrarian University
塔什干信息技术大学,Tashkent University of Information Technologies
塔什干国立经济大学,Tashkent State University of Economics
乌兹别克斯坦国立音乐学院,The State Conservatory of Uzbekistan
乌兹别克斯坦国立体育与运动大学,Uzbekistan State University of Physical Education and Sports
乌兹别克斯坦科学院热物理系,The Heat Physics Department  Academy of Sciences of Uzbekistan
乌兹别克斯坦国立世界语言大学,Uzbekistan State World Languages University
乌兹别克斯坦国立大学,National University of Uzbekistan named after Mirzo Ulugbek
乌兹别克斯坦科学院数学研究所,Institute of Mathematics  Academy of Sciences of Uzbekistan
